Pulse_Index,Point_0,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16,Point_17,Point_18,Point_19,Point_20,Point_21,Point_22,Point_23,Point_24,Point_25,Point_26,Point_27,Point_28,Point_29,Point_30,Point_31,Point_32,Point_33,Point_34,Point_35,Point_36,Point_37,Point_38,Point_39,Point_40,Point_41,Point_42,Point_43,Point_44,Point_45,Point_46,Point_47,Point_48,Point_49,Point_50,Point_51,Point_52,Point_53,Point_54,Point_55,Point_56,Point_57,Point_58,Point_59,Point_60,Point_61,Point_62,Point_63,Point_64,Point_65,Point_66,Point_67,Point_68,Point_69,Point_70,Point_71,Point_72,Point_73,Point_74,Point_75,Point_76,Point_77,Point_78,Point_79,Point_80,Point_81,Point_82,Point_83,Point_84,Point_85,Point_86,Point_87,Point_88,Point_89,Point_90,Point_91,Point_92,Point_93,Point_94,Point_95,Point_96,Point_97,Point_98,Point_99,Point_100,Point_101,Point_102,Point_103,Point_104,Point_105,Point_106,Point_107,Point_108,Point_109,Point_110,Point_111,Point_112,Point_113,Point_114,Point_115,Point_116,Point_117,Point_118,Point_119,Point_120,Point_121,Point_122,Point_123,Point_124,Point_125,Point_126,Point_127,Point_128,Point_129,Point_130,Point_131,Point_132,Point_133,Point_134,Point_135,Point_136,Point_137,Point_138,Point_139,Point_140,Point_141,Point_142,Point_143,Point_144,Point_145,Point_146,Point_147,Point_148,Point_149,Point_150,Point_151,Point_152,Point_153,Point_154,Point_155,Point_156,Point_157,Point_158,Point_159,Point_160,Point_161,Point_162,Point_163,Point_164,Point_165,Point_166,Point_167,Point_168,Point_169,Point_170,Point_171,Point_172,Point_173,Point_174,Point_175,Point_176,Point_177,Point_178,Point_179,Point_180,Point_181,Point_182,Point_183,Point_184,Point_185,Point_186,Point_187,Point_188,Point_189,Point_190,Point_191,Point_192,Point_193,Point_194,Point_195,Point_196,Point_197,Point_198,Point_199,Point_200,Point_201,Point_202,Point_203,Point_204,Point_205,Point_206,Point_207,Point_208,Point_209,Point_210,Point_211,Point_212,Point_213,Point_214,Point_215,Point_216,Point_217,Point_218,Point_219,Point_220,Point_221,Point_222,Point_223,Point_224,Point_225,Point_226,Point_227,Point_228,Point_229,Point_230,Point_231,Point_232,Point_233,Point_234,Point_235,Point_236,Point_237,Point_238,Point_239,Point_240,Point_241,Point_242,Point_243,Point_244,Point_245,Point_246,Point_247,Point_248,Point_249
Pulse_1,0.576375,0.613875,0.672875,0.733375,0.794875,0.856,0.917,0.977625,1.037625,1.096,1.154,1.210375,1.266625,1.320375,1.373625,1.42375,1.473,1.519875,1.565875,1.60975,1.652,1.69275,1.732375,1.769375,1.805375,1.8395,1.872875,1.902625,1.9325,1.9615,1.987625,2.01275,2.03775,2.060375,2.081625,2.102,2.1215,2.139625,2.15675,2.172625,2.18625,2.202,2.214625,2.227,2.239,2.249,2.25925,2.26875,2.27725,2.2855,2.293,2.3,2.30625,2.31175,2.31775,2.32275,2.327375,2.3305,2.334625,2.33675,2.340125,2.341875,1.942875,2.274875,2.3495,2.351,2.3525,2.35325,2.35425,2.354,2.354375,2.32025,2.3315,2.32525,2.338625,2.346875,2.3495,2.351875,2.354125,2.351125,2.352875,2.351125,2.35125,2.347875,2.348375,2.3475,2.346625,2.345125,2.344375,2.344875,2.344,2.341875,2.34025,2.340875,2.340125,2.337625,2.336,2.334625,2.334125,2.332375,2.33025,2.329875,2.328875,2.3275,2.325625,2.323625,2.323125,2.3215,2.31925,2.31875,2.316125,2.314875,2.312875,2.310875,2.310125,2.3085,2.307,2.305,2.303125,2.301875,2.30125,2.300125,2.2995,2.298,2.29725,2.65225,2.524625,2.526625,2.4575,2.223,2.089875,2.264625,2.033125,1.95075,2.092125,1.719,1.72425,1.6795,1.636125,1.579125,1.558,1.483125,1.430875,1.353,1.306375,1.241,1.241875,1.1735,1.18325,1.117375,1.10675,1.076,1.113,1.08075,1.018125,1.014875,0.9885,0.96425,0.941125,0.9435,0.92625,0.9245,0.91625,0.906125,0.897625,0.88675,0.871125,0.868625,0.850375,0.848375,0.84,0.817375,0.815875,0.804875,0.800875,0.786875,0.7835,0.77925,0.776125,0.76775,0.75675,0.752375,0.743125,0.7365,0.735625,0.725375,0.727625,0.728375,0.715375,0.713625,0.713375,0.71175,0.70575,0.698875,0.6975,0.690375,0.68775,0.687875,0.687375,0.681625,0.68125,0.680875,0.676,0.671625,0.6685,0.670375,0.668,0.662625,0.661,0.658125,0.65675,0.65075,0.65275,0.6515,0.650875,0.649375,0.646,0.64475,0.642625,0.642,0.639375,0.639375,0.634375,0.634875,0.633875,0.631875,0.629375,0.626875,0.625625,0.623375,0.620875,0.61925,0.616375,0.616625,0.6155,0.6165,0.61625,0.61475,0.614625,0.612375,0.61325,0.61225,0.609625,0.610375,0.60975,0.609875,0.6085,0.60875,0.6075,0.607125
Pulse_2,0.558625,0.58025,0.61175,0.64375,0.674375,0.708875,0.74575,0.7745,0.82675,0.859625,0.8975,0.93025,0.97525,0.993875,1.046875,1.0885,1.129125,1.166125,1.19275,1.21025,1.244,1.271875,1.301375,1.34125,1.364,1.39325,1.463625,1.5135,1.649375,1.646,1.641375,1.579125,1.65575,1.6555,2.039875,1.87575,1.919125,2.054875,1.909875,1.980625,2.146375,2.159,2.144875,2.176,2.19625,2.205625,2.2055,2.226375,2.236,2.2385,2.2255,1.783875,1.92525,1.876125,1.869625,1.94375,1.874125,1.8455,1.8445,1.861125,1.93675,1.93,1.911125,1.855875,1.834125,1.81225,1.86775,1.88025,1.84175,1.948875,1.939,1.91975,1.849875,1.8135,1.8205,1.837875,1.9725,1.938,1.975375,1.954125,1.911125,1.89825,2.05825,1.861125,1.909125,1.846125,1.91675,1.774625,1.817,1.822625,1.856,2.028875,2.008125,1.942125,1.876625,1.96025,1.9995,1.886625,1.967625,1.908125,1.8445,1.781375,1.7665,1.8075,1.95,1.776,1.799125,1.898875,1.9735,1.892375,2.002375,1.93,2.048375,2.056,1.9665,1.9205,1.9895,2.049625,1.959375,1.989625,2.069375,2.078125,1.9355,1.97725,1.9705,2.36,2.259375,2.155125,2.238625,2.11275,1.942,2.013375,1.827875,1.80675,1.84625,1.972875,1.926,1.596875,1.348125,1.633625,1.44,1.7105,1.67175,1.5625,1.59725,1.56125,1.5265,1.493,1.461625,1.43075,1.401125,1.372625,1.345875,1.319875,1.294625,1.27025,1.247125,1.22475,1.203,1.181875,1.16225,1.142875,1.124625,1.106375,1.088875,1.0725,1.056125,1.0405,1.02525,1.010875,0.997,0.82975,0.586625,0.586,0.591375,0.749,0.63925,0.59125,0.59225,0.59075,0.5915,0.59075,0.590875,0.591125,0.591375,0.591,0.592,0.595125,0.810625,0.8825,0.795375,0.787875,0.781375,0.291625,0.768375,0.762125,0.75625,0.750625,0.744625,0.73875,0.734375,0.72875,0.72375,0.718875,0.71425,0.709,0.704625,0.701125,0.696375,0.692,0.688375,0.684625,0.680625,0.669375,0.66825,0.665,0.667125,0.663,0.66025,0.657375,0.65375,0.650875,0.64825,0.6455,0.64275,0.64025,0.638,0.635625,0.63325,0.6305,0.628625,0.62625,0.624375,0.6225,0.6205,0.61875,0.617,0.61525,0.61325,0.61125,0.610125,0.60825,0.607375,0.605625,0.6045,0.603,0.601625,0.600125,0.59925,0.597625
Pulse_3,0.49025,0.526625,0.576875,0.63025,0.6835,0.736875,0.789625,0.842875,0.89975,0.948375,1.00025,1.051375,1.1015,1.150625,1.19825,1.24725,1.28925,1.33225,1.373875,1.414375,1.45225,1.490125,1.5265,1.5625,1.597125,1.626125,1.65725,1.688625,1.71725,1.744625,1.77075,1.795875,1.81925,1.851875,1.873625,1.898375,1.91675,1.93475,1.952875,1.967875,1.98325,1.99875,2.011375,2.0255,2.035125,2.04625,2.05875,2.06775,2.0775,2.086875,2.09725,2.10575,2.113125,2.118875,2.125375,2.13125,2.138,2.143125,2.146875,2.151,2.156125,2.158625,2.161875,2.16625,2.169625,2.172,2.17325,2.17575,2.17925,2.18,2.1835,2.18325,2.186625,2.187125,2.18825,2.188,2.19,2.189,2.189625,2.192,2.1905,2.191875,2.18975,2.190875,2.19075,2.191375,2.191375,2.190375,2.189875,2.1895,2.189375,2.188,2.186375,2.186375,2.18425,2.184125,2.182375,2.182625,2.179875,2.179625,2.17775,2.176875,2.174625,2.1745,2.1725,2.168875,2.168125,2.16425,2.160625,2.159375,2.1545,2.1505,2.1485,2.14775,2.144125,2.139625,2.150625,2.15025,2.146125,2.145375,2.142,2.137375,2.135,2.130625,2.128625,2.574125,2.52175,2.45275,2.385,2.320375,2.258125,2.198125,2.14,2.083875,2.030875,1.978625,1.929375,1.880875,1.834375,1.78975,1.747375,1.70625,1.66725,1.628875,1.593,1.55775,1.5235,1.49175,1.46075,1.43075,1.402,1.37525,1.348375,1.322625,1.298625,1.27475,1.252,1.2295,1.20825,1.188125,1.1685,1.14975,1.131375,1.114,1.097,1.08075,1.06475,1.04975,1.03475,1.02075,1.007125,0.99375,0.98075,0.9685,0.9565,0.944625,0.93325,0.922875,0.912125,0.901625,0.892125,0.8825,0.873375,0.864,0.855125,0.846875,0.8385,0.830625,0.823375,0.81525,0.808625,0.801125,0.794625,0.788125,0.782,0.775375,0.76925,0.763375,0.758,0.752125,0.74675,0.74175,0.737,0.731875,0.72725,0.7225,0.71825,0.714375,0.709625,0.70525,0.70175,0.698125,0.69425,0.690125,0.6865,0.68325,0.6805,0.677125,0.674,0.670875,0.66775,0.665125,0.662125,0.66,0.65725,0.654375,0.652125,0.649625,0.647375,0.645,0.642875,0.6405,0.638375,0.636375,0.634875,0.632875,0.631125,0.62875,0.627625,0.625875,0.623875,0.62275,0.621,0.6195,0.618375,0.616625,0.615375,0.6145,0.61275,0.612
Pulse_4,0.50925,0.542,0.592625,0.64625,0.69975,0.752875,0.806375,0.85475,0.907625,0.9595,1.009625,1.05975,1.110375,1.158,1.204375,1.249375,1.2925,1.335375,1.376625,1.41625,1.45475,1.49275,1.528375,1.5625,1.59625,1.627375,1.657625,1.684375,1.713125,1.739375,1.765875,1.788375,1.811,1.833,1.853875,1.8735,1.893,1.914,1.928125,1.94525,1.959875,1.973375,1.986,2.000125,2.01125,2.022875,2.033,2.043625,2.0545,2.062625,2.072125,2.081625,2.08725,2.09475,2.099375,2.106875,2.1115,2.11825,2.123375,2.126,2.1315,2.137125,2.138375,2.14275,2.14575,2.1475,2.147,2.148125,2.151125,2.15425,2.15625,2.156875,2.159125,2.160125,2.1605,2.16075,2.158375,2.157625,2.15725,2.16,2.160375,2.158,2.159875,2.160125,2.164375,2.167125,2.17325,2.173125,2.171375,2.17125,2.171375,2.171125,2.1705,2.16975,2.16825,2.168875,2.166375,2.167375,2.166875,2.166625,2.16425,2.1645,2.161625,2.16175,2.16,2.15925,2.158875,2.156,2.156,2.1555,2.15625,2.155875,2.155875,2.154625,2.155625,2.15575,2.15325,2.1545,2.152375,2.15275,2.15125,2.152125,2.15075,2.150125,2.15025,2.59025,2.538,2.46975,2.40225,2.33725,2.274625,2.214875,2.157,2.10125,2.048125,1.995875,1.946375,1.8985,1.85275,1.808375,1.765125,1.72425,1.685,1.647,1.611125,1.57575,1.541875,1.509625,1.478375,1.44825,1.420125,1.392,1.3655,1.33975,1.31525,1.291375,1.268375,1.24625,1.22525,1.204375,1.185125,1.16575,1.147875,1.1295,1.113,1.096375,1.08075,1.065375,1.05075,1.03625,1.02225,1.008375,0.995875,0.98325,0.971125,0.959625,0.948375,0.937625,0.9265,0.91625,0.9065,0.897,0.8875,0.87825,0.869875,0.860875,0.852625,0.844875,0.837125,0.829125,0.82175,0.815125,0.8085,0.801875,0.7955,0.788875,0.78325,0.77725,0.7715,0.765375,0.76,0.75475,0.75025,0.74525,0.740625,0.73575,0.73175,0.726625,0.72225,0.718,0.7145,0.71025,0.70675,0.703125,0.699375,0.695875,0.692625,0.68875,0.685875,0.6825,0.680375,0.677125,0.67475,0.671625,0.669125,0.666375,0.664125,0.6615,0.659375,0.657125,0.65475,0.652875,0.65075,0.648125,0.646375,0.644125,0.6425,0.6405,0.638625,0.636875,0.635625,0.63375,0.6325,0.631625,0.62975,0.62825,0.627125,0.625625,0.624375,0.623375
Pulse_5,0.51975,0.553625,0.60525,0.659625,0.714,0.768,0.822375,0.87625,0.9295,0.981875,1.034125,1.085,1.134625,1.183875,1.230875,1.276625,1.320625,1.3635,1.405,1.444875,1.4835,1.520375,1.55675,1.59025,1.62475,1.657,1.686125,1.716625,1.744125,1.772,1.797125,1.82275,1.8455,1.867625,1.88875,1.910125,1.929125,1.946,1.96475,1.980125,1.99525,2.009625,2.024625,2.03725,2.048625,2.06025,2.072,2.08125,2.09225,2.101375,2.1095,2.117375,2.1245,2.13125,2.137375,2.143,2.147875,2.153125,2.157625,2.16075,2.165375,2.169125,2.17275,2.176375,2.179125,2.181625,2.182375,2.187,2.189375,2.1915,2.192875,2.193875,2.195375,2.196625,2.1975,2.198375,2.199125,2.197875,2.199625,2.2,2.2005,2.20025,2.19875,2.200875,2.198875,2.20025,2.199875,2.19825,2.198625,2.197625,2.198125,2.196,2.1975,2.196375,2.195125,2.194625,2.19375,2.19275,2.19025,2.192,2.191375,2.190625,2.18975,2.18775,2.187375,2.18525,2.1855,2.184625,2.18325,2.182375,2.181375,2.180875,2.181,2.179,2.178125,2.177125,2.17675,2.1745,2.174875,2.172,2.1715,2.17225,2.171375,2.170625,2.169125,2.60425,2.550625,2.481375,2.414625,2.3495,2.287125,2.22675,2.168375,2.112125,2.057875,2.006125,1.955625,1.906625,1.860625,1.81575,1.77325,1.731375,1.691875,1.653875,1.617125,1.582,1.548125,1.515,1.48375,1.4535,1.424625,1.39675,1.370125,1.344625,1.319375,1.295125,1.272375,1.25,1.229,1.208125,1.18875,1.16925,1.15075,1.13275,1.115875,1.098875,1.083625,1.06775,1.052875,1.038125,1.02425,1.010375,0.997875,0.985125,0.973375,0.960875,0.94975,0.93925,0.928,0.917625,0.90775,0.89775,0.8885,0.879125,0.870375,0.86175,0.853375,0.845,0.837375,0.829625,0.822375,0.815375,0.80825,0.801625,0.795375,0.788875,0.783,0.776875,0.770875,0.765125,0.76025,0.754625,0.7495,0.744875,0.74025,0.73525,0.730625,0.7265,0.72225,0.71775,0.713625,0.709875,0.70625,0.70225,0.698625,0.69575,0.691875,0.688625,0.685625,0.682125,0.679625,0.67625,0.6735,0.67125,0.66875,0.6655,0.663625,0.661,0.6585,0.656375,0.65375,0.6515,0.649375,0.64725,0.64575,0.64375,0.642125,0.640125,0.638125,0.63675,0.63475,0.633,0.632125,0.63025,0.628875,0.62725,0.625875,0.624625,0.62325,0.621625
Pulse_6,0.5205,0.554625,0.607,0.661625,0.716,0.77125,0.826375,0.88025,0.93375,0.987375,1.039625,1.091,1.14175,1.190875,1.238625,1.2845,1.329125,1.372375,1.41325,1.454625,1.493125,1.531625,1.56725,1.601875,1.636375,1.66725,1.698375,1.728,1.755625,1.78125,1.8075,1.83225,1.856125,1.8785,1.898625,1.918375,1.93575,1.953625,1.970875,1.98675,2.001875,2.016125,2.029375,2.042125,2.054,2.0655,2.074,2.086,2.095125,2.104125,2.1115,2.1195,2.1255,2.132625,2.1395,2.144875,2.15,2.1535,2.15925,2.163375,2.1675,2.17075,2.172,2.177375,2.17975,2.183,2.185375,2.1855,2.1895,2.190125,2.19225,2.1935,2.194625,2.195125,2.196,2.196375,2.196875,2.196125,2.19625,2.198,2.197875,2.197,2.196375,2.197,2.19525,2.1965,2.195875,2.193875,2.19375,2.193375,2.192875,2.193375,2.193,2.190875,2.192,2.190125,2.190375,2.188125,2.18725,2.186125,2.185375,2.18575,2.18475,2.18275,2.182875,2.182375,2.180125,2.179375,2.178875,2.177875,2.1765,2.17675,2.175875,2.173875,2.172375,2.172125,2.17125,2.17075,2.168375,2.168375,2.16775,2.165125,2.1655,2.163625,2.16325,2.59675,2.544125,2.474625,2.407375,2.34225,2.280125,2.22,2.1615,2.105625,2.051625,2,1.949,1.9005,1.854,1.80975,1.76675,1.72575,1.685625,1.647375,1.611,1.575875,1.54175,1.509375,1.478,1.447375,1.419125,1.39075,1.364375,1.3385,1.314125,1.29025,1.26725,1.245,1.22375,1.203125,1.18375,1.164375,1.146,1.12775,1.11125,1.094625,1.078625,1.062875,1.0485,1.033875,1.019875,1.0065,0.99325,0.98125,0.96925,0.957125,0.9455,0.934625,0.92375,0.91325,0.9035,0.894,0.884625,0.875,0.86675,0.858,0.8495,0.841625,0.83375,0.826,0.819125,0.812,0.805,0.798,0.7915,0.785875,0.779625,0.7735,0.768,0.7625,0.757375,0.751875,0.746625,0.7415,0.737,0.73225,0.727625,0.723375,0.719125,0.715125,0.711,0.706875,0.703,0.69925,0.696375,0.692625,0.68875,0.68625,0.682625,0.679375,0.67625,0.67375,0.670625,0.66825,0.66525,0.66325,0.66025,0.657625,0.655375,0.652875,0.650875,0.648625,0.64675,0.644625,0.643125,0.64075,0.638875,0.637,0.635125,0.633375,0.631875,0.630625,0.62875,0.627375,0.626375,0.624875,0.62325,0.622,0.620625,0.6195
Pulse_7,0.51875,0.55225,0.60425,0.658125,0.712875,0.766625,0.820875,0.875125,0.928375,0.98125,1.03325,1.084375,1.13475,1.1835,1.231,1.277,1.321875,1.366125,1.407375,1.447875,1.486375,1.52425,1.56025,1.594875,1.627875,1.660375,1.690625,1.72,1.74775,1.77375,1.798625,1.821375,1.845375,1.868375,1.889375,1.9085,1.927375,1.944,1.96175,1.977875,1.99175,2.00725,2.019875,2.032375,2.04425,2.056125,2.065375,2.07525,2.0855,2.094125,2.10225,2.11,2.116,2.123625,2.128625,2.135875,2.1415,2.1455,2.150875,2.155,2.159,2.16125,2.16575,2.168625,2.17075,2.17475,2.17575,2.1775,2.18075,2.182625,2.18325,2.185625,2.188,2.188,2.187625,2.1895,2.190375,2.189375,2.191375,2.191875,2.192125,2.190125,2.192,2.19225,2.192,2.1905,2.189625,2.191,2.191375,2.19075,2.1885,2.19,2.189625,2.1875,2.188125,2.1875,2.186875,2.186375,2.1855,2.184875,2.184125,2.183,2.181875,2.182375,2.18175,2.181,2.17925,2.1795,2.177875,2.17675,2.1745,2.175875,2.173625,2.1735,2.172375,2.169875,2.170125,2.171875,2.170875,2.17075,2.17025,2.167875,2.169,2.166375,2.1665,2.605,2.5525,2.483,2.41575,2.35075,2.288375,2.2275,2.17,2.1135,2.06,2.0075,1.9575,1.9095,1.86275,1.817875,1.774875,1.734,1.694625,1.656,1.61975,1.5845,1.55025,1.51775,1.4865,1.456625,1.427875,1.399875,1.372875,1.347,1.321875,1.29825,1.275125,1.2535,1.232,1.211625,1.191375,1.1725,1.15375,1.136125,1.11875,1.1025,1.086375,1.07075,1.05575,1.04175,1.02725,1.014125,1.0005,0.98825,0.976125,0.964375,0.952875,0.942,0.931,0.920875,0.911,0.901375,0.8915,0.882625,0.8735,0.86525,0.856625,0.849,0.841,0.8335,0.825875,0.819125,0.81225,0.805375,0.799125,0.792375,0.78625,0.780375,0.774875,0.769125,0.763625,0.758375,0.753125,0.748,0.742875,0.73825,0.73425,0.729375,0.725375,0.721375,0.716875,0.713125,0.7095,0.7055,0.701875,0.698375,0.695375,0.6915,0.6885,0.685375,0.682875,0.679625,0.677,0.67375,0.67125,0.668625,0.6665,0.664,0.66125,0.659,0.657,0.654375,0.652875,0.650125,0.6485,0.64625,0.64425,0.642625,0.64175,0.6395,0.6375,0.635875,0.634125,0.63275,0.6315,0.630125,0.6285,0.627625,0.626375,0.624625
Pulse_8,0.523375,0.55725,0.60975,0.66375,0.718,0.7725,0.827125,0.881125,0.934125,0.987125,1.03875,1.089875,1.14025,1.188625,1.23625,1.28325,1.327875,1.371125,1.41275,1.45275,1.490625,1.528875,1.565375,1.599,1.633625,1.6645,1.695,1.723,1.75175,1.77875,1.80525,1.829,1.85275,1.874625,1.895625,1.916,1.935,1.952625,1.96975,1.985625,2.000625,2.01575,2.029125,2.041125,2.053,2.06325,2.07425,2.084375,2.094125,2.10275,2.11225,2.119875,2.12575,2.1345,2.1405,2.144625,2.150875,2.15525,2.160125,2.164375,2.16825,2.17225,2.176,2.17925,2.181375,2.185125,2.1875,2.189625,2.191,2.193,2.19425,2.1945,2.197,2.198375,2.19775,2.199375,2.199,2.200125,2.19925,2.2015,2.200875,2.20175,2.20225,2.202,2.200625,2.20025,2.201,2.200625,2.20075,2.201125,2.2015,2.201125,2.20025,2.2,2.199,2.19825,2.197375,2.196375,2.1945,2.195125,2.194625,2.1935,2.191375,2.191375,2.190125,2.189125,2.187375,2.186,2.18625,2.18575,2.184,2.18375,2.183375,2.182,2.180375,2.179625,2.179375,2.178625,2.177625,2.1765,2.174625,2.175375,2.1745,2.171875,2.1725,2.6065,2.5535,2.484125,2.417875,2.352125,2.289625,2.229125,2.171375,2.115,2.0605,2.0085,1.95825,1.91,1.8635,1.818625,1.7755,1.73425,1.695,1.6565,1.620125,1.584375,1.55075,1.518125,1.486625,1.45575,1.426875,1.399125,1.37275,1.346125,1.322125,1.29825,1.275,1.252375,1.231,1.21075,1.19125,1.171875,1.1535,1.1355,1.1185,1.101875,1.08575,1.07,1.05525,1.04075,1.02675,1.013625,1.000125,0.98775,0.97525,0.963375,0.952,0.940875,0.930125,0.9205,0.910125,0.90025,0.89075,0.882375,0.873,0.86425,0.856125,0.847875,0.839875,0.832125,0.82525,0.818125,0.81175,0.804375,0.797625,0.791375,0.78525,0.779875,0.77375,0.7675,0.76225,0.757,0.75225,0.7475,0.74225,0.737625,0.733125,0.7285,0.7245,0.72025,0.716125,0.712,0.708125,0.704625,0.700875,0.69725,0.69375,0.690875,0.687625,0.685,0.681625,0.678625,0.67575,0.673375,0.6705,0.667625,0.66525,0.66275,0.6605,0.658125,0.655625,0.65325,0.651625,0.6495,0.647625,0.64525,0.643625,0.641875,0.640125,0.638125,0.63675,0.63525,0.63375,0.63175,0.630875,0.629,0.628125,0.62625,0.625125,0.62375
Pulse_9,0.52275,0.556625,0.60925,0.6635,0.71825,0.77325,0.82775,0.881875,0.935625,0.98875,1.041125,1.09225,1.14275,1.191625,1.24,1.286375,1.33,1.373125,1.415125,1.456625,1.495125,1.533875,1.57025,1.60475,1.63725,1.670375,1.699875,1.7295,1.758375,1.785125,1.809625,1.83475,1.8575,1.879125,1.9,1.919875,1.937625,1.956625,1.973375,1.98925,2.003875,2.0185,2.030875,2.04275,2.05675,2.066875,2.078375,2.08875,2.09825,2.107,2.114375,2.12325,2.128625,2.136875,2.14225,2.147875,2.15475,2.15975,2.16475,2.169,2.17175,2.175125,2.178625,2.182875,2.185625,2.188625,2.191,2.192375,2.194875,2.196875,2.197625,2.19975,2.201,2.201125,2.203125,2.202625,2.203125,2.204625,2.20425,2.204875,2.205375,2.2055,2.2065,2.204625,2.204125,2.20575,2.206,2.204375,2.205375,2.20475,2.203625,2.2035,2.201375,2.201875,2.199,2.19975,2.197625,2.1975,2.1975,2.19725,2.196875,2.196375,2.195,2.19425,2.191375,2.1925,2.1915,2.18975,2.18925,2.189875,2.187125,2.187625,2.188,2.18475,2.18475,2.183375,2.1835,2.18225,2.18,2.180125,2.1785,2.17725,2.177125,2.17575,2.17575,2.609,2.556,2.48675,2.42025,2.355625,2.2935,2.23325,2.175125,2.119,2.0655,2.0135,1.96375,1.914875,1.86825,1.82375,1.781,1.73975,1.700125,1.661875,1.625,1.590125,1.556,1.523875,1.492375,1.462,1.433625,1.405125,1.378375,1.352375,1.327625,1.303375,1.28075,1.258375,1.237375,1.216625,1.196625,1.17725,1.158875,1.140875,1.124125,1.10725,1.091375,1.0755,1.06075,1.046,1.03225,1.018375,1.0055,0.99275,0.981,0.969,0.957375,0.946375,0.936125,0.9255,0.915125,0.9055,0.896,0.88675,0.878125,0.869375,0.86125,0.853,0.845625,0.837625,0.83025,0.82275,0.816375,0.809625,0.803125,0.7965,0.790625,0.784375,0.77875,0.773,0.767875,0.763,0.7575,0.75225,0.747375,0.742,0.737875,0.733125,0.729125,0.724875,0.720875,0.717125,0.713125,0.7095,0.70575,0.70225,0.699125,0.69575,0.69275,0.68975,0.686125,0.6835,0.680625,0.67775,0.675125,0.672125,0.670375,0.667125,0.664625,0.66275,0.66025,0.6585,0.656,0.653875,0.65225,0.65025,0.648375,0.646625,0.645125,0.643,0.641625,0.640125,0.639125,0.63675,0.6355,0.63375,0.632375,0.63125,0.630125,0.6285
Pulse_10,0.52725,0.560875,0.614,0.668875,0.723625,0.779,0.834375,0.889125,0.942875,0.99675,1.048375,1.1,1.150125,1.199125,1.24725,1.293125,1.3375,1.380875,1.42175,1.46225,1.501875,1.538625,1.57475,1.61075,1.6435,1.67375,1.70475,1.7345,1.76175,1.787875,1.814,1.83675,1.859125,1.880375,1.902375,1.92225,1.94075,1.95725,1.9745,1.989875,2.005125,2.02025,2.033625,2.045875,2.057375,2.06725,2.079125,2.0875,2.098625,2.10725,2.114875,2.123125,2.128125,2.13675,2.143125,2.148875,2.153,2.159875,2.163875,2.168875,2.1725,2.17525,2.1795,2.182625,2.182875,2.186875,2.187875,2.1905,2.1935,2.19375,2.1965,2.196875,2.199375,2.19975,2.201125,2.200125,2.20275,2.203625,2.203875,2.20425,2.203375,2.2035,2.204125,2.205125,2.203625,2.205125,2.20425,2.20575,2.2055,2.205375,2.204125,2.204125,2.20375,2.203875,2.203875,2.203125,2.201375,2.2025,2.199875,2.20025,2.201875,2.200125,2.193875,2.1935,2.19375,2.195,2.19525,2.19525,2.195,2.194,2.1945,2.193375,2.194,2.192875,2.19275,2.191,2.192125,2.19175,2.19125,2.19075,2.189875,2.1895,2.188875,2.18775,2.18825,2.62775,2.574875,2.506125,2.438875,2.373625,2.31125,2.251125,2.193,2.136125,2.0825,2.030125,1.979875,1.9315,1.884875,1.84,1.796875,1.755125,1.715375,1.676875,1.6405,1.604875,1.571,1.537875,1.50625,1.47575,1.44675,1.418625,1.3915,1.365625,1.340375,1.3165,1.293375,1.27125,1.249375,1.2285,1.208625,1.18875,1.170375,1.152625,1.13525,1.118375,1.1025,1.08675,1.071625,1.057,1.043,1.029,1.015875,1.003375,0.99075,0.979,0.967375,0.956,0.944875,0.9355,0.924625,0.914875,0.90525,0.895875,0.886875,0.878375,0.87025,0.862125,0.853875,0.846125,0.8385,0.831875,0.825,0.81775,0.811125,0.80475,0.7985,0.792625,0.786875,0.78075,0.7755,0.77,0.76525,0.75975,0.754875,0.750375,0.745625,0.741375,0.73675,0.7325,0.7285,0.7245,0.7205,0.717125,0.713125,0.709625,0.7065,0.703625,0.700625,0.69675,0.693625,0.690875,0.687625,0.685,0.682625,0.68,0.67775,0.674875,0.672125,0.67,0.668125,0.665625,0.663625,0.660875,0.659375,0.657375,0.6555,0.653625,0.652625,0.65025,0.6485,0.64675,0.645375,0.6435,0.6425,0.64075,0.63925,0.638,0.636875,0.635875
