Pulse_Index,Point_0,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16,Point_17,Point_18,Point_19,Point_20,Point_21,Point_22,Point_23,Point_24,Point_25,Point_26,Point_27,Point_28,Point_29,Point_30,Point_31,Point_32,Point_33,Point_34,Point_35,Point_36,Point_37,Point_38,Point_39,Point_40,Point_41,Point_42,Point_43,Point_44,Point_45,Point_46,Point_47,Point_48,Point_49,Point_50,Point_51,Point_52,Point_53,Point_54,Point_55,Point_56,Point_57,Point_58,Point_59,Point_60,Point_61,Point_62,Point_63,Point_64,Point_65,Point_66,Point_67,Point_68,Point_69,Point_70,Point_71,Point_72,Point_73,Point_74,Point_75,Point_76,Point_77,Point_78,Point_79,Point_80,Point_81,Point_82,Point_83,Point_84,Point_85,Point_86,Point_87,Point_88,Point_89,Point_90,Point_91,Point_92,Point_93,Point_94,Point_95,Point_96,Point_97,Point_98,Point_99,Point_100,Point_101,Point_102,Point_103,Point_104,Point_105,Point_106,Point_107,Point_108,Point_109,Point_110,Point_111,Point_112,Point_113,Point_114,Point_115,Point_116,Point_117,Point_118,Point_119,Point_120,Point_121,Point_122,Point_123,Point_124,Point_125,Point_126,Point_127,Point_128,Point_129,Point_130,Point_131,Point_132,Point_133,Point_134,Point_135,Point_136,Point_137,Point_138,Point_139,Point_140,Point_141,Point_142,Point_143,Point_144,Point_145,Point_146,Point_147,Point_148,Point_149,Point_150,Point_151,Point_152,Point_153,Point_154,Point_155,Point_156,Point_157,Point_158,Point_159,Point_160,Point_161,Point_162,Point_163,Point_164,Point_165,Point_166,Point_167,Point_168,Point_169,Point_170,Point_171,Point_172,Point_173,Point_174,Point_175,Point_176,Point_177,Point_178,Point_179,Point_180,Point_181,Point_182,Point_183,Point_184,Point_185,Point_186,Point_187,Point_188,Point_189,Point_190,Point_191,Point_192,Point_193,Point_194,Point_195,Point_196,Point_197,Point_198,Point_199,Point_200,Point_201,Point_202,Point_203,Point_204,Point_205,Point_206,Point_207,Point_208,Point_209,Point_210,Point_211,Point_212,Point_213,Point_214,Point_215,Point_216,Point_217,Point_218,Point_219,Point_220,Point_221,Point_222,Point_223,Point_224,Point_225,Point_226,Point_227,Point_228,Point_229,Point_230,Point_231,Point_232,Point_233,Point_234,Point_235,Point_236,Point_237,Point_238,Point_239,Point_240,Point_241,Point_242,Point_243,Point_244,Point_245,Point_246,Point_247,Point_248,Point_249,Source,MaxVoltage,MinVoltage,DeltaV
Outdoor_Real_Cycle_20,0.01623,0.01651,0.01648,0.017,0.01614,0.017,0.017,0.01686,0.017,0.017,0.01647,0.01689,0.017,0.0167,0.017,0.01666,0.017,0.01653,0.01684,0.01644,0.01617,0.01611,0.01654,0.017,0.01578,0.01553,0.017,0.017,0.01686,0.017,0.01668,0.01646,0.0167,0.01411,0.017,0.01665,0.01654,0.01693,0.01673,0.017,0.01674,0.017,0.01658,0.01633,0.01636,0.01611,0.017,0.017,0.01587,0.01538,0.0154,0.01564,0.01631,0.01543,0.01697,0.01616,0.01602,0.01654,0.01667,0.01697,0.01533,0.01576,0.01599,0.01647,0.01498,0.01634,0.017,0.01547,0.01565,0.01591,0.0167,0.01564,0.01558,0.01522,0.0141,0.01358,0.01269,0.01114,0.01217,0.01125,0.01052,0.01086,0.01086,0.01011,0.00982,0.00847,0.00973,0.00977,0.00952,0.00932,0.00917,0.00876,0.00754,0.00923,0.00782,0.0074,0.00873,0.00831,0.00762,0.00778,0.00878,0.00791,0.00754,0.00735,0.007,0.007,0.0081,0.008,0.007,0.007,0.00749,0.007,0.00804,0.00753,0.007,0.00706,0.00718,0.00719,0.00823,0.00726,0.00745,0.007,0.00779,0.007,0.00724,0.00785,0.007,0.00851,0.00766,0.00703,0.00741,0.00708,0.00813,0.00769,0.00819,0.007,0.00756,0.00718,0.0081,0.007,0.007,0.007,0.0071,0.00838,0.00848,0.00827,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.00787,0.007,0.00743,0.007,0.00719,0.0073,0.00746,0.00723,0.007,0.00738,0.00723,0.00772,0.007,0.007,0.007,0.007,0.00736,0.007,0.00784,0.00755,0.00702,0.00817,0.00723,0.007,0.007,0.007,0.007,0.007,0.007,0.00746,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.00754,0.00707,0.007,0.0073,0.007,0.00788,0.00745,0.007,0.00773,0.007,0.007,0.00807,0.00756,0.0079,0.007,0.00784,0.00942,0.00787,0.00811,0.00896,0.00874,0.01015,0.00967,0.01001,0.01063,0.01098,0.01134,0.01193,0.01091,0.01168,0.01247,0.01317,0.01314,0.01325,0.0134,0.01417,0.015,0.01436,0.0151,0.01516,0.01485,0.01447,0.01408,0.01647,0.01533,0.01649,0.01647,0.01657,0.01562,0.01636,0.01645,0.017,0.017,0.01639,0.01613,0.01618,0.01604,0.01654,0.017,0.017,,,,
Outdoor_Real_Cycle_19,0.03282,0.04116,0.04747,0.0556,0.0648,0.07519,0.08605,0.09878,0.1101,0.12282,0.13665,0.14912,0.16372,0.17877,0.1913,0.20524,0.22056,0.23416,0.24689,0.26019,0.2724,0.28242,0.29438,0.30467,0.31447,0.32418,0.33239,0.34004,0.34684,0.3525,0.35884,0.36538,0.36952,0.37411,0.38021,0.38326,0.38641,0.38967,0.39225,0.39579,0.39824,0.39985,0.40218,0.40379,0.40348,0.40554,0.406,0.406,0.406,0.40563,0.406,0.406,0.406,0.406,0.406,0.40593,0.40519,0.40433,0.40435,0.40411,0.40215,0.40241,0.40207,0.40077,0.39981,0.39894,0.39873,0.39601,0.39627,0.39582,0.39415,0.39465,0.39236,0.39102,0.38972,0.39098,0.38829,0.38742,0.38771,0.38634,0.3858,0.3847,0.38363,0.38344,0.38131,0.38036,0.38037,0.38071,0.379,0.3785,0.37761,0.37542,0.37575,0.37455,0.3746,0.37391,0.37258,0.37325,0.37091,0.37059,0.36993,0.36973,0.36927,0.36873,0.36827,0.3672,0.3669,0.3655,0.3645,0.36578,0.36425,0.363,0.36292,0.36285,0.3622,0.36346,0.36541,0.3611,0.3481,0.32712,0.30083,0.26981,0.23835,0.21485,0.19583,0.1781,0.16319,0.14943,0.13708,0.12596,0.1175,0.10786,0.0995,0.09392,0.08574,0.08073,0.07528,0.07019,0.06616,0.06206,0.05857,0.05546,0.05213,0.04987,0.04601,0.04433,0.04279,0.03952,0.03774,0.0375,0.0351,0.03316,0.03168,0.0296,0.02918,0.02849,0.02767,0.02609,0.02482,0.02362,0.02291,0.02223,0.02159,0.02078,0.02034,0.02049,0.01865,0.01917,0.01798,0.01731,0.01651,0.01687,0.01639,0.01606,0.01536,0.01499,0.01443,0.0141,0.01428,0.01346,0.01379,0.0128,0.01234,0.01264,0.01202,0.01144,0.01251,0.01123,0.01127,0.01208,0.01179,0.01068,0.01235,0.01032,0.01087,0.01144,0.00997,0.01019,0.00908,0.00953,0.00978,0.00961,0.01007,0.00971,0.00806,0.00941,0.00956,0.01007,0.00854,0.0086,0.00772,0.0095,0.00893,0.00863,0.00947,0.00783,0.00872,0.00768,0.00792,0.00782,0.00922,0.00755,0.00756,0.00787,0.00741,0.00772,0.0082,0.00738,0.00773,0.007,0.00804,0.00778,0.00782,0.00788,0.00732,0.007,0.00769,0.00781,0.00753,0.007,0.00753,0.00739,0.00773,0.007,0.00838,0.01105,0.01407,0.01734,0.02113,0.02713,,,,
Outdoor_Real_Cycle_18,0.06403,0.07353,0.08492,0.09576,0.10757,0.12166,0.13506,0.14842,0.16373,0.17733,0.19238,0.20541,0.22024,0.23531,0.24757,0.25984,0.27265,0.28351,0.29526,0.30595,0.31573,0.32509,0.33215,0.34073,0.34932,0.35428,0.36057,0.367,0.37165,0.37673,0.38077,0.38507,0.3879,0.39253,0.39551,0.39647,0.40098,0.40175,0.40349,0.40508,0.40673,0.40706,0.40651,0.40789,0.40841,0.40896,0.40754,0.4081,0.40822,0.40813,0.4081,0.40706,0.40789,0.40643,0.40489,0.40529,0.40479,0.40353,0.40277,0.40208,0.40148,0.40107,0.40016,0.39873,0.39863,0.39736,0.39605,0.39593,0.39415,0.3932,0.39281,0.39209,0.3908,0.39001,0.38875,0.38809,0.3876,0.38634,0.38576,0.38366,0.38377,0.38345,0.38318,0.3817,0.38095,0.37907,0.37973,0.37903,0.37649,0.37636,0.3755,0.37445,0.37413,0.37301,0.3735,0.37185,0.37225,0.37083,0.36979,0.37002,0.36942,0.36908,0.36742,0.36711,0.36523,0.36699,0.36502,0.36483,0.36462,0.36335,0.36284,0.36556,0.36553,0.36103,0.34844,0.32814,0.30013,0.27064,0.23932,0.21567,0.195,0.17826,0.16286,0.14943,0.13684,0.12523,0.11651,0.10718,0.09936,0.09272,0.08479,0.07907,0.07467,0.0687,0.0659,0.0612,0.05738,0.05337,0.04986,0.04744,0.04527,0.04237,0.04073,0.03877,0.03641,0.03401,0.03313,0.03193,0.02882,0.02857,0.02688,0.02558,0.02498,0.02399,0.02374,0.02211,0.02194,0.02105,0.01974,0.01987,0.01938,0.01818,0.01736,0.01647,0.01616,0.01535,0.01533,0.01458,0.01417,0.01438,0.01436,0.01402,0.0111,0.01242,0.01308,0.01166,0.01126,0.01178,0.01136,0.00999,0.00983,0.01,0.00996,0.01003,0.01073,0.00865,0.00916,0.00996,0.00811,0.00804,0.00903,0.00783,0.00822,0.00732,0.00908,0.00825,0.00697,0.00728,0.00612,0.00694,0.00644,0.00731,0.00723,0.00623,0.00787,0.00768,0.00698,0.00772,0.00642,0.00662,0.00723,0.00692,0.00614,0.00653,0.00707,0.00575,0.005,0.00601,0.00557,0.00513,0.00581,0.00646,0.00618,0.00555,0.0058,0.00609,0.00585,0.00551,0.005,0.00513,0.005,0.005,0.00552,0.00612,0.00578,0.00515,0.005,0.005,0.00612,0.005,0.00714,0.0092,0.01294,0.01588,0.02048,0.02608,0.03239,0.03854,0.0452,0.05437,,,,
Outdoor_Real_Cycle_17,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,,,,
Outdoor_Real_Cycle_16,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,,,,
Outdoor_Real_Cycle_15,0.36799,0.37345,0.3785,0.38448,0.3885,0.39287,0.39575,0.39946,0.40304,0.40644,0.40691,0.40954,0.40963,0.41234,0.41315,0.4143,0.41536,0.41511,0.416,0.416,0.416,0.416,0.416,0.416,0.41534,0.41593,0.41503,0.41554,0.41353,0.4138,0.41244,0.4127,0.41212,0.40993,0.40866,0.40897,0.40678,0.40662,0.40512,0.4054,0.40406,0.40312,0.40067,0.40059,0.4003,0.39947,0.39908,0.39696,0.3961,0.39451,0.39409,0.39386,0.39311,0.39248,0.39236,0.39079,0.39029,0.38839,0.38809,0.38663,0.38614,0.38537,0.38429,0.38399,0.38324,0.38186,0.38003,0.3819,0.38029,0.37942,0.37936,0.37795,0.37737,0.37839,0.37733,0.37544,0.37502,0.37576,0.37355,0.37275,0.37274,0.37135,0.37099,0.37172,0.36949,0.37244,0.37377,0.36931,0.35708,0.33396,0.30836,0.27639,0.245,0.21964,0.1999,0.18226,0.16586,0.15309,0.14032,0.1286,0.11844,0.11045,0.10222,0.09482,0.08836,0.08277,0.07694,0.07184,0.06653,0.06247,0.05848,0.05474,0.05291,0.04929,0.04651,0.04492,0.04213,0.03897,0.03695,0.03554,0.03363,0.03296,0.03147,0.02991,0.02871,0.02745,0.02662,0.02514,0.02454,0.02372,0.02237,0.0225,0.02101,0.01957,0.02011,0.02065,0.0183,0.01856,0.01605,0.01652,0.01679,0.01567,0.01515,0.01499,0.01489,0.01349,0.01463,0.01419,0.01311,0.01347,0.01311,0.01246,0.01166,0.01173,0.01176,0.01176,0.01099,0.01055,0.01129,0.01082,0.01031,0.01035,0.01064,0.00945,0.00991,0.00949,0.00926,0.00918,0.0092,0.00864,0.00798,0.00794,0.00909,0.00906,0.00914,0.00824,0.00764,0.00833,0.00901,0.00886,0.00775,0.00744,0.00728,0.00868,0.00707,0.00612,0.00748,0.00709,0.00839,0.00705,0.00744,0.00602,0.00657,0.00776,0.00681,0.00691,0.00761,0.0065,0.006,0.00788,0.00647,0.006,0.00719,0.006,0.00701,0.007,0.00609,0.00619,0.006,0.0065,0.00644,0.006,0.00709,0.00707,0.00762,0.01086,0.0127,0.01783,0.02224,0.02608,0.03211,0.03993,0.04748,0.05566,0.06708,0.07481,0.08663,0.09864,0.11258,0.12437,0.1369,0.15259,0.16579,0.18145,0.19555,0.21057,0.22635,0.23776,0.25213,0.26577,0.27767,0.28997,0.30193,0.31115,0.32165,0.33078,0.33927,0.34731,0.35567,0.36109,,,,
Outdoor_Real_Cycle_14,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01989,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01963,0.01931,0.02,0.02,0.01886,0.02,0.02,0.02,0.01977,0.02,0.02,0.01985,0.01975,0.0199,0.01888,0.02,0.01988,0.01885,0.01967,0.02,0.01877,0.02,0.01927,0.01842,0.0195,0.01984,0.01923,0.02,0.02,0.01968,0.01978,0.01971,0.0185,0.01985,0.02,0.01945,0.01908,0.01886,0.01876,0.0194,0.01937,0.01886,0.01969,0.01926,0.0199,0.01846,0.01897,0.0183,0.01815,0.01692,0.01452,0.01445,0.01437,0.01259,0.01266,0.01354,0.01224,0.0119,0.00979,0.00971,0.01003,0.00913,0.0097,0.00834,0.00856,0.00781,0.00836,0.00866,0.00743,0.00824,0.0081,0.00783,0.00758,0.00815,0.00726,0.00799,0.00746,0.00662,0.00829,0.00751,0.00763,0.0062,0.00667,0.00768,0.0061,0.00775,0.00622,0.0072,0.00609,0.00692,0.00712,0.00636,0.00644,0.00682,0.00703,0.00712,0.00615,0.006,0.00709,0.00731,0.00705,0.00667,0.006,0.00738,0.006,0.00663,0.00618,0.006,0.00727,0.006,0.006,0.0067,0.00617,0.00679,0.00662,0.00652,0.00744,0.00619,0.00697,0.006,0.00616,0.006,0.00644,0.00615,0.00623,0.006,0.00646,0.00691,0.006,0.00622,0.006,0.006,0.00611,0.00608,0.006,0.00644,0.006,0.00607,0.00609,0.00651,0.00601,0.00647,0.00707,0.00676,0.00633,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.00624,0.006,0.00602,0.00653,0.00648,0.00652,0.006,0.00611,0.006,0.006,0.00613,0.006,0.00632,0.00705,0.0061,0.006,0.006,0.006,0.006,0.00706,0.006,0.006,0.00678,0.00672,0.00731,0.00701,0.00643,0.00743,0.00753,0.00859,0.00745,0.0089,0.00992,0.00966,0.00929,0.01036,0.01056,0.01042,0.01142,0.01251,0.01202,0.01444,0.01349,0.01373,0.01614,0.0157,0.01531,0.01663,0.01626,0.01739,0.01745,0.01721,0.01862,0.0186,0.01895,0.01935,0.01958,0.01914,0.01953,0.01939,0.02,0.02,0.0193,0.01974,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,
Outdoor_Real_Cycle_13,0.25587,0.2682,0.28003,0.2902,0.30198,0.30987,0.31874,0.32763,0.33466,0.34119,0.34817,0.35459,0.36096,0.36677,0.37023,0.3741,0.37895,0.38192,0.38523,0.38747,0.39101,0.39345,0.39594,0.3962,0.39753,0.39874,0.40033,0.40068,0.40117,0.402,0.402,0.402,0.402,0.4008,0.402,0.40099,0.40068,0.40062,0.40006,0.39891,0.39964,0.39787,0.39774,0.39602,0.39585,0.39481,0.3949,0.39313,0.39238,0.39197,0.3902,0.38966,0.38976,0.38839,0.38701,0.38498,0.38334,0.38432,0.38296,0.38215,0.38188,0.38038,0.37968,0.37922,0.37849,0.37629,0.37731,0.37552,0.37481,0.37494,0.3745,0.373,0.37208,0.37047,0.36983,0.3694,0.36889,0.36774,0.3678,0.36674,0.36586,0.36596,0.36436,0.36462,0.36333,0.36378,0.3606,0.36132,0.3608,0.35991,0.36079,0.35805,0.35837,0.35839,0.35801,0.35705,0.35915,0.36027,0.35591,0.34353,0.32287,0.2968,0.26542,0.23435,0.21207,0.19207,0.17603,0.15938,0.14702,0.13351,0.12458,0.11365,0.10542,0.09798,0.09101,0.08496,0.07925,0.07278,0.06856,0.06355,0.06008,0.05579,0.05181,0.05047,0.04653,0.04623,0.04172,0.03907,0.03768,0.03616,0.0343,0.03247,0.03106,0.02904,0.02678,0.02778,0.02638,0.02362,0.02301,0.02249,0.02092,0.02043,0.02022,0.01958,0.01858,0.01808,0.01806,0.0177,0.01607,0.01569,0.0159,0.01465,0.01449,0.01345,0.01364,0.013,0.01274,0.01227,0.01253,0.01194,0.01263,0.0136,0.01135,0.01038,0.01045,0.01077,0.01035,0.0099,0.01043,0.0105,0.00962,0.01018,0.008,0.00984,0.00961,0.00851,0.00876,0.009,0.00925,0.00833,0.00717,0.00805,0.00779,0.00757,0.007,0.00687,0.00762,0.00641,0.00677,0.00747,0.00701,0.00565,0.00663,0.00688,0.00631,0.00699,0.00666,0.00645,0.00754,0.00664,0.00531,0.00659,0.00584,0.00667,0.00573,0.00636,0.00602,0.00687,0.00522,0.005,0.00563,0.00501,0.00699,0.00636,0.00506,0.005,0.00517,0.00602,0.0055,0.00567,0.005,0.00618,0.005,0.00512,0.005,0.00762,0.00927,0.01085,0.01631,0.01961,0.02572,0.0316,0.03752,0.04519,0.05316,0.06312,0.07239,0.08347,0.09467,0.10746,0.11966,0.13212,0.14578,0.1614,0.17515,0.18851,0.20307,0.21702,0.23028,0.24202,,,,
Outdoor_Real_Cycle_12,0.01563,0.016,0.01568,0.01571,0.016,0.016,0.016,0.016,0.01583,0.016,0.016,0.0157,0.016,0.01539,0.016,0.01545,0.01557,0.01551,0.016,0.01454,0.016,0.0159,0.016,0.01589,0.016,0.01502,0.01575,0.016,0.016,0.01553,0.01506,0.016,0.01515,0.01537,0.016,0.0156,0.016,0.01524,0.01523,0.01516,0.01523,0.01487,0.01541,0.01549,0.01505,0.01579,0.01571,0.01481,0.01588,0.01511,0.01495,0.01442,0.01431,0.01544,0.016,0.0141,0.01421,0.01445,0.01437,0.01436,0.01531,0.01477,0.01375,0.016,0.01422,0.01426,0.01456,0.01522,0.016,0.01553,0.01564,0.01446,0.0145,0.01333,0.01404,0.01193,0.01116,0.01114,0.00975,0.00911,0.00948,0.00881,0.00823,0.00793,0.00878,0.00676,0.008,0.00836,0.00729,0.0068,0.00691,0.00731,0.00658,0.00689,0.00663,0.00678,0.00529,0.00616,0.00666,0.00604,0.005,0.00629,0.00597,0.00615,0.00647,0.00602,0.00539,0.00634,0.00597,0.00527,0.005,0.00574,0.00549,0.00553,0.00594,0.00516,0.00616,0.00506,0.005,0.005,0.005,0.005,0.00516,0.005,0.0055,0.005,0.00603,0.005,0.00553,0.00541,0.00589,0.005,0.00662,0.00542,0.00604,0.00519,0.005,0.00548,0.005,0.00527,0.00656,0.005,0.005,0.005,0.00514,0.0058,0.005,0.00511,0.005,0.0052,0.00503,0.005,0.005,0.00566,0.0052,0.00501,0.00664,0.00555,0.00601,0.00551,0.00538,0.005,0.00507,0.00533,0.00506,0.00621,0.00533,0.005,0.00551,0.005,0.00558,0.00603,0.00654,0.005,0.00525,0.005,0.005,0.005,0.00543,0.00598,0.005,0.0059,0.0052,0.00548,0.00614,0.00593,0.005,0.005,0.00556,0.00511,0.005,0.00634,0.00514,0.00643,0.00645,0.005,0.00552,0.005,0.00568,0.005,0.00525,0.005,0.005,0.00519,0.00573,0.00529,0.00671,0.006,0.00646,0.00784,0.00683,0.00785,0.00879,0.00878,0.00972,0.00884,0.00942,0.00958,0.01011,0.01051,0.0109,0.01117,0.01111,0.01189,0.01212,0.01325,0.01301,0.01157,0.01399,0.01427,0.01442,0.01433,0.01409,0.01434,0.0147,0.0141,0.016,0.016,0.01445,0.01554,0.01497,0.016,0.01491,0.0158,0.016,0.016,0.016,0.016,0.01492,0.01561,,,,
Outdoor_Real_Cycle_11,0.20751,0.20779,0.20937,0.20962,0.20894,0.20929,0.20964,0.20928,0.21,0.21,0.21,0.21,0.21,0.20877,0.20899,0.20961,0.20833,0.20734,0.20827,0.20669,0.20767,0.20674,0.20778,0.20449,0.20493,0.20584,0.20438,0.20276,0.20372,0.20331,0.20246,0.20195,0.2012,0.20123,0.20037,0.20072,0.20028,0.19979,0.19999,0.19769,0.19781,0.19822,0.19726,0.19706,0.19653,0.19524,0.19445,0.19552,0.19462,0.19462,0.19435,0.1948,0.19396,0.19309,0.19261,0.19064,0.19155,0.19282,0.19066,0.19075,0.189,0.18984,0.19013,0.1883,0.18928,0.18916,0.18776,0.18852,0.188,0.18848,0.18802,0.18644,0.18671,0.18654,0.18818,0.18567,0.18046,0.16901,0.15508,0.13962,0.12436,0.11117,0.10158,0.092,0.08503,0.07865,0.07324,0.06649,0.06146,0.05692,0.05331,0.04964,0.04649,0.04348,0.04111,0.03871,0.03508,0.0333,0.03145,0.02916,0.02734,0.02741,0.02552,0.02478,0.02348,0.02246,0.02028,0.02043,0.01931,0.01899,0.01661,0.01651,0.01659,0.0156,0.0157,0.01461,0.01485,0.01377,0.01372,0.01347,0.01317,0.01305,0.01214,0.01111,0.01117,0.01171,0.01092,0.01045,0.01025,0.01038,0.00983,0.00976,0.00912,0.00986,0.00872,0.00826,0.00832,0.00887,0.00743,0.0085,0.00805,0.00736,0.00679,0.0072,0.00683,0.00856,0.00769,0.00663,0.00649,0.00824,0.00743,0.00728,0.0074,0.00727,0.006,0.00664,0.00701,0.00647,0.00616,0.00578,0.00599,0.00647,0.00546,0.0073,0.00631,0.0053,0.00616,0.00558,0.00614,0.00542,0.00671,0.00578,0.00643,0.00576,0.0057,0.00549,0.005,0.00579,0.0055,0.00513,0.00536,0.00619,0.00595,0.005,0.005,0.005,0.005,0.005,0.0058,0.00534,0.00589,0.0054,0.005,0.005,0.005,0.00626,0.00514,0.00559,0.0057,0.0053,0.00567,0.0063,0.00622,0.00641,0.00893,0.00995,0.01316,0.01472,0.01776,0.02175,0.02602,0.0307,0.03398,0.04104,0.0452,0.05158,0.05676,0.06316,0.07211,0.07807,0.08558,0.09274,0.10001,0.10734,0.11441,0.12073,0.12815,0.13385,0.14163,0.14652,0.15256,0.1574,0.16202,0.1662,0.17138,0.17414,0.17843,0.18231,0.18476,0.18828,0.19016,0.19305,0.19595,0.19808,0.19979,0.20107,0.20238,0.20434,0.20675,0.20688,,,,
