CycleID,Timestamp,IdentifiedGas,EstimatedPPM,MaxVoltage1,MinVoltage1,DeltaV,AUC,PeakPoint,RiskLevel
26,"11:50:34 PM","Clean Air",0.0,0.392,0.006,0.385,43.8,59,"Bình Thường"
25,"11:48:37 PM","Clean Air",0.0,0.389,0.007,0.382,13.7,59,"Bình Thường"
24,"11:48:35 PM","Clean Air",0.0,0.009,0.008,0.001,0.1,8,"Bình Thường"
23,"11:48:34 PM","Clean Air",0.0,0.009,0.009,0.000,0.0,8,"Bình Thường"
22,"11:47:55 PM","Clean Air",0.0,0.383,0.006,0.377,38.0,59,"Bình Thường"
21,"11:47:03 PM","Clean Air",0.0,0.354,0.006,0.348,21.5,92,"Bình Thường"
20,"11:45:50 PM","Clean Air",0.0,0.378,0.006,0.372,42.3,60,"Bình Thường"
19,"11:44:36 PM","Clean Air",0.0,0.376,0.006,0.370,42.0,59,"Bình Thường"
18,"11:43:21 PM","Clean Air",0.0,0.374,0.006,0.368,41.7,59,"Bình Thường"
17,"11:42:05 PM","Clean Air",0.0,0.371,0.006,0.365,41.5,58,"Bình Thường"
16,"11:40:50 PM","Clean Air",0.0,0.378,0.006,0.372,42.0,58,"Bình Thường"
15,"11:39:35 PM","Clean Air",0.0,0.383,0.006,0.377,42.7,58,"Bình Thường"
14,"11:38:40 PM","Clean Air",0.0,0.387,0.006,0.380,28.6,63,"Bình Thường"
13,"11:38:39 PM","Clean Air",0.0,0.007,0.007,0.000,0.0,6,"Bình Thường"
12,"11:37:52 PM","Clean Air",0.0,0.397,0.007,0.391,43.4,58,"Bình Thường"
11,"11:36:59 PM","Clean Air",0.0,0.397,0.007,0.391,21.4,58,"Bình Thường"
10,"11:35:46 PM","Clean Air",0.0,0.396,0.006,0.390,44.2,58,"Bình Thường"
9,"11:34:33 PM","Clean Air",0.0,0.394,0.006,0.388,44.1,60,"Bình Thường"
8,"11:33:19 PM","Clean Air",0.0,0.393,0.006,0.387,43.9,59,"Bình Thường"
7,"11:32:06 PM","Clean Air",0.0,0.391,0.006,0.384,43.7,59,"Bình Thường"
6,"11:30:50 PM","Clean Air",0.0,0.389,0.006,0.382,43.4,59,"Bình Thường"
5,"11:29:36 PM","Clean Air",0.0,0.386,0.006,0.380,43.1,59,"Bình Thường"
4,"11:28:22 PM","Clean Air",0.0,0.383,0.006,0.377,42.8,59,"Bình Thường"
3,"11:27:30 PM","Clean Air",0.0,0.197,0.006,0.191,3.2,26,"Bình Thường"
2,"11:26:18 PM","Clean Air",0.0,0.377,0.006,0.371,41.9,60,"Bình Thường"
1,"11:25:58 PM","Clean Air",0.0,0.013,0.006,0.007,0.6,183,"Bình Thường"
