Pulse_Index,Point_0,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16,Point_17,Point_18,Point_19,Point_20,Point_21,Point_22,Point_23,Point_24,Point_25,Point_26,Point_27,Point_28,Point_29,Point_30,Point_31,Point_32,Point_33,Point_34,Point_35,Point_36,Point_37,Point_38,Point_39,Point_40,Point_41,Point_42,Point_43,Point_44,Point_45,Point_46,Point_47,Point_48,Point_49,Point_50,Point_51,Point_52,Point_53,Point_54,Point_55,Point_56,Point_57,Point_58,Point_59,Point_60,Point_61,Point_62,Point_63,Point_64,Point_65,Point_66,Point_67,Point_68,Point_69,Point_70,Point_71,Point_72,Point_73,Point_74,Point_75,Point_76,Point_77,Point_78,Point_79,Point_80,Point_81,Point_82,Point_83,Point_84,Point_85,Point_86,Point_87,Point_88,Point_89,Point_90,Point_91,Point_92,Point_93,Point_94,Point_95,Point_96,Point_97,Point_98,Point_99,Point_100,Point_101,Point_102,Point_103,Point_104,Point_105,Point_106,Point_107,Point_108,Point_109,Point_110,Point_111,Point_112,Point_113,Point_114,Point_115,Point_116,Point_117,Point_118,Point_119,Point_120,Point_121,Point_122,Point_123,Point_124,Point_125,Point_126,Point_127,Point_128,Point_129,Point_130,Point_131,Point_132,Point_133,Point_134,Point_135,Point_136,Point_137,Point_138,Point_139,Point_140,Point_141,Point_142,Point_143,Point_144,Point_145,Point_146,Point_147,Point_148,Point_149,Point_150,Point_151,Point_152,Point_153,Point_154,Point_155,Point_156,Point_157,Point_158,Point_159,Point_160,Point_161,Point_162,Point_163,Point_164,Point_165,Point_166,Point_167,Point_168,Point_169,Point_170,Point_171,Point_172,Point_173,Point_174,Point_175,Point_176,Point_177,Point_178,Point_179,Point_180,Point_181,Point_182,Point_183,Point_184,Point_185,Point_186,Point_187,Point_188,Point_189,Point_190,Point_191,Point_192,Point_193,Point_194,Point_195,Point_196,Point_197,Point_198,Point_199,Point_200,Point_201,Point_202,Point_203,Point_204,Point_205,Point_206,Point_207,Point_208,Point_209,Point_210,Point_211,Point_212,Point_213,Point_214,Point_215,Point_216,Point_217,Point_218,Point_219,Point_220,Point_221,Point_222,Point_223,Point_224,Point_225,Point_226,Point_227,Point_228,Point_229,Point_230,Point_231,Point_232,Point_233,Point_234,Point_235,Point_236,Point_237,Point_238,Point_239,Point_240,Point_241,Point_242,Point_243,Point_244,Point_245,Point_246,Point_247,Point_248,Point_249
Pulse_1,0.527375,0.5615,0.61425,0.66875,0.723875,0.7785,0.8335,0.888,0.941375,0.994875,1.047,1.09825,1.148125,1.197125,1.244875,1.29125,1.33625,1.379625,1.421625,1.462,1.50125,1.539125,1.5755,1.6095,1.642625,1.674875,1.7055,1.73475,1.763,1.78975,1.81525,1.83825,1.862125,1.883,1.904125,1.925,1.944875,1.962875,1.97925,1.995125,2.009875,2.02325,2.038375,2.051375,2.063375,2.074625,2.083875,2.094625,2.103625,2.11375,2.12125,2.128,2.135375,2.143375,2.1485,2.155625,2.1605,2.165125,2.1695,2.175,2.178875,2.182625,2.184625,2.18975,2.192,2.195625,2.19775,2.19975,2.20025,2.2035,2.205125,2.20475,2.2055,2.2085,2.207875,2.210625,2.211375,2.209375,2.210625,2.209125,2.210875,2.211375,2.209875,2.211375,2.210875,2.209625,2.211125,2.211,2.2105,2.210125,2.208625,2.208,2.20575,2.20725,2.20475,2.206375,2.205,2.202875,2.20375,2.202875,2.202,2.199125,2.199875,2.199,2.19675,2.1975,2.196375,2.1945,2.195375,2.194375,2.193125,2.191875,2.18925,2.190125,2.189375,2.188625,2.186625,2.185625,2.186625,2.1855,2.183625,2.184125,2.183,2.18075,2.1815,2.615625,2.56275,2.493125,2.426125,2.36125,2.298875,2.2385,2.180125,2.12425,2.07,2.0175,1.96725,1.918875,1.87275,1.827375,1.784375,1.742875,1.70275,1.664375,1.62775,1.591875,1.558125,1.5255,1.494375,1.46425,1.43475,1.407125,1.3795,1.35275,1.328625,1.304625,1.281875,1.259,1.23825,1.2175,1.197875,1.178125,1.16,1.14125,1.12475,1.10775,1.092,1.076375,1.061,1.04625,1.0325,1.018625,1.006,0.992875,0.980625,0.968875,0.957125,0.946125,0.9355,0.924875,0.91525,0.904625,0.895375,0.886,0.877,0.868625,0.860375,0.851625,0.844125,0.836125,0.82925,0.822125,0.81575,0.80825,0.801875,0.795375,0.789125,0.783375,0.777625,0.771875,0.766125,0.760875,0.756125,0.751,0.746375,0.741625,0.737,0.732125,0.728125,0.72375,0.7195,0.715375,0.711875,0.708125,0.704375,0.7005,0.697125,0.694,0.690875,0.687875,0.68475,0.681875,0.679375,0.676625,0.67375,0.671125,0.66875,0.665875,0.66425,0.661,0.659375,0.6565,0.65525,0.653125,0.651125,0.648875,0.647375,0.645125,0.643625,0.6415,0.640125,0.638375,0.637125,0.634875,0.63375,0.63175,0.631,0.629,0.628,0.626375
Pulse_2,0.52475,0.55925,0.61175,0.667,0.721625,0.777125,0.831875,0.886625,0.941,0.99425,1.0465,1.09775,1.148125,1.1975,1.244875,1.29125,1.336375,1.379875,1.422125,1.463,1.502875,1.540625,1.576125,1.610875,1.643625,1.675625,1.706,1.735,1.763,1.789375,1.814875,1.839125,1.8605,1.884375,1.90475,1.924875,1.9435,1.959875,1.978625,1.99425,2.00925,2.022125,2.037375,2.049375,2.06025,2.07325,2.083375,2.0935,2.102625,2.1105,2.119875,2.12725,2.133125,2.142,2.148125,2.15275,2.158,2.164625,2.169125,2.173375,2.1775,2.180625,2.18425,2.1855,2.18975,2.19175,2.193875,2.195875,2.197375,2.19775,2.2005,2.20075,2.203625,2.204,2.203375,2.20625,2.206875,2.205875,2.208,2.206875,2.205875,2.207625,2.206875,2.205625,2.207125,2.2075,2.20675,2.206875,2.2065,2.20575,2.203125,2.204625,2.2035,2.203,2.201625,2.20025,2.20125,2.200375,2.199625,2.197625,2.1975,2.198,2.195375,2.196125,2.195375,2.194625,2.19375,2.19275,2.19175,2.1905,2.188125,2.18875,2.187625,2.18675,2.184125,2.183,2.183375,2.182,2.18125,2.178625,2.177875,2.17875,2.177375,2.175125,2.175875,2.60825,2.55525,2.485875,2.418125,2.352375,2.290125,2.229875,2.171375,2.115,2.061,2.00875,1.958125,1.910625,1.864125,1.8185,1.77575,1.734125,1.6945,1.655875,1.61925,1.584125,1.549875,1.517625,1.48575,1.45575,1.426875,1.399125,1.372625,1.346375,1.321875,1.297125,1.274375,1.252,1.231125,1.21025,1.1905,1.171625,1.153125,1.135125,1.118125,1.1015,1.085375,1.07,1.055125,1.0405,1.02675,1.012625,1,0.987,0.975,0.963,0.95125,0.9405,0.929875,0.91925,0.909125,0.899625,0.889875,0.88025,0.872125,0.863125,0.855125,0.846625,0.8395,0.831375,0.824625,0.816875,0.81025,0.80325,0.797,0.79075,0.7845,0.778375,0.77275,0.767,0.761875,0.75625,0.75125,0.745875,0.741125,0.7365,0.7325,0.727625,0.724,0.719875,0.715,0.711,0.70725,0.704,0.700375,0.696375,0.69375,0.689875,0.686875,0.683125,0.679875,0.677125,0.675,0.672125,0.669125,0.666875,0.664375,0.661875,0.659375,0.656875,0.655,0.6525,0.65075,0.64825,0.646375,0.644625,0.64275,0.6405,0.639,0.637,0.635375,0.634375,0.63225,0.630625,0.6295,0.628,0.62625,0.625375,0.623375,0.622
Pulse_3,0.521125,0.5555,0.608,0.662875,0.71775,0.772875,0.8275,0.882125,0.936125,0.989,1.041375,1.09275,1.143125,1.192375,1.240125,1.286375,1.331625,1.376,1.418,1.45925,1.499125,1.53825,1.57475,1.610125,1.64375,1.677,1.7085,1.739,1.768,1.795,1.823125,1.8485,1.87275,1.895875,1.918125,1.938125,1.959625,1.978375,1.9965,2.014,2.0295,2.045125,2.058875,2.0725,2.084875,2.096875,2.107625,2.118375,2.127125,2.136875,2.144,2.15325,2.1605,2.16675,2.17175,2.178625,2.184625,2.189875,2.1945,2.197125,2.201125,2.20475,2.20875,2.211875,2.214375,2.216875,2.219,2.221,2.22125,2.22425,2.22425,2.225,2.227625,2.2285,2.22825,2.22925,2.229125,2.229375,2.22975,2.229375,2.227625,2.229,2.22725,2.22875,2.22825,2.227,2.225625,2.22525,2.2265,2.225625,2.224625,2.223625,2.223,2.222625,2.220625,2.2195,2.22,2.2175,2.218125,2.215875,2.215,2.2155,2.21425,2.212,2.212375,2.21025,2.210625,2.20975,2.207,2.206875,2.205,2.205625,2.204875,2.203625,2.201,2.20175,2.200625,2.198125,2.199,2.196375,2.1965,2.195875,2.19325,2.194125,2.19275,2.627875,2.575125,2.5065,2.43975,2.374875,2.31375,2.253625,2.196125,2.1405,2.08675,2.035625,1.985625,1.93775,1.8915,1.846625,1.803625,1.762125,1.722375,1.684625,1.64725,1.612125,1.57775,1.545125,1.513875,1.4835,1.454625,1.426125,1.39925,1.37275,1.347875,1.323625,1.300625,1.27775,1.256375,1.23575,1.21525,1.195875,1.177,1.159125,1.141875,1.125375,1.109,1.09375,1.078375,1.06375,1.049625,1.0365,1.022625,1.010375,0.9975,0.985875,0.974125,0.963,0.952625,0.94175,0.931375,0.921625,0.911625,0.902875,0.893875,0.88475,0.876125,0.8685,0.860625,0.852875,0.84475,0.837875,0.831125,0.824125,0.817,0.810875,0.805125,0.79875,0.79275,0.787625,0.7815,0.77575,0.770625,0.766,0.760875,0.755875,0.751375,0.746375,0.74225,0.73775,0.733625,0.7295,0.725625,0.7215,0.718375,0.7145,0.711,0.707375,0.704125,0.701,0.697625,0.6945,0.691625,0.689,0.686,0.683,0.6805,0.678,0.675375,0.6725,0.670375,0.668375,0.665875,0.663625,0.66175,0.65925,0.657125,0.655625,0.6535,0.651375,0.65,0.6485,0.646625,0.644875,0.643125,0.64175,0.640125,0.6385,0.637625,0.63575
Pulse_4,0.5325,0.567125,0.621,0.676375,0.732125,0.788,0.843875,0.8985,0.953,1.00675,1.059875,1.111875,1.16275,1.213,1.26175,1.30875,1.355375,1.399875,1.44275,1.484125,1.5245,1.563625,1.60125,1.6365,1.673,1.707,1.739125,1.76975,1.799875,1.8295,1.85675,1.88225,1.907375,1.9295,1.9535,1.97475,1.995,2.01375,2.030625,2.0475,2.064125,2.077375,2.093125,2.10625,2.118,2.1285,2.140625,2.1495,2.15875,2.167125,2.17375,2.183375,2.19,2.196375,2.2025,2.2075,2.212375,2.215375,2.221375,2.22425,2.229125,2.23175,2.234375,2.23725,2.2395,2.23975,2.24275,2.244625,2.245,2.2465,2.247125,2.24825,2.249,2.248375,2.2485,2.249375,2.249375,2.24925,2.248625,2.247375,2.248375,2.247625,2.2475,2.246875,2.246,2.24475,2.242875,2.242375,2.2415,2.242,2.241375,2.24025,2.237875,2.2385,2.237125,2.23525,2.233625,2.234,2.2315,2.231875,2.23075,2.229125,2.227875,2.22575,2.225875,2.224125,2.223,2.221875,2.219375,2.219625,2.2185,2.2165,2.215125,2.2145,2.213375,2.210375,2.210875,2.20825,2.208625,2.207125,2.205625,2.20275,2.201875,2.202375,2.201125,2.637375,2.5835,2.515125,2.4485,2.384125,2.3215,2.261625,2.20375,2.14825,2.09525,2.042875,1.992875,1.94425,1.898375,1.853375,1.8105,1.769,1.729375,1.691125,1.653625,1.61825,1.584375,1.551,1.519625,1.48925,1.460125,1.431625,1.4045,1.378,1.353375,1.329125,1.30575,1.283125,1.261375,1.2405,1.220875,1.20125,1.18275,1.16475,1.1475,1.1305,1.114125,1.098375,1.083625,1.068875,1.054625,1.04075,1.0275,1.014625,1.00225,0.990125,0.979,0.967375,0.956625,0.946125,0.935875,0.926125,0.916625,0.907625,0.8985,0.88975,0.880875,0.873125,0.864625,0.85725,0.85,0.84275,0.8355,0.82875,0.822125,0.815875,0.809375,0.803625,0.7975,0.79175,0.78625,0.78075,0.775625,0.769875,0.765625,0.760125,0.75525,0.750875,0.746625,0.742125,0.738125,0.733875,0.730125,0.725875,0.722625,0.718625,0.715125,0.71175,0.708125,0.705125,0.702,0.698625,0.69575,0.692625,0.69075,0.687,0.684375,0.681875,0.679875,0.67675,0.674,0.672125,0.669875,0.667375,0.665625,0.663625,0.66175,0.659625,0.6575,0.6555,0.65375,0.652875,0.6505,0.648875,0.64675,0.645625,0.644125,0.642625,0.64075,0.63975
Pulse_5,0.536,0.570625,0.6245,0.68025,0.736,0.791875,0.847125,0.902875,0.95725,1.011125,1.064,1.11625,1.16725,1.2165,1.2655,1.31225,1.3585,1.402875,1.44575,1.486875,1.527375,1.56625,1.603375,1.639875,1.6745,1.707875,1.73975,1.77,1.79975,1.827875,1.8545,1.8805,1.90475,1.927375,1.949375,1.970375,1.9895,2.008375,2.025625,2.042125,2.058375,2.0725,2.085875,2.09875,2.110875,2.120375,2.1315,2.1425,2.15125,2.16,2.167875,2.174375,2.18225,2.18825,2.192875,2.19925,2.20475,2.20925,2.21375,2.2175,2.220875,2.22325,2.226625,2.2295,2.231875,2.23375,2.235625,2.237125,2.23875,2.238875,2.24125,2.241875,2.24125,2.243375,2.24225,2.2425,2.243625,2.243875,2.243,2.242,2.243375,2.242125,2.24125,2.240875,2.2415,2.241125,2.240625,2.2385,2.237875,2.23725,2.235625,2.235625,2.23375,2.23425,2.233,2.230875,2.23,2.229875,2.22875,2.2265,2.22625,2.2255,2.22325,2.222625,2.220875,2.22025,2.219375,2.218,2.216875,2.21575,2.213375,2.2135,2.21225,2.211,2.2085,2.207375,2.20675,2.2055,2.2055,2.20325,2.202375,2.19975,2.20025,2.1985,2.19725,2.63375,2.580875,2.511,2.444,2.379625,2.317,2.25725,2.199375,2.14375,2.089375,2.037375,1.98775,1.93925,1.893375,1.8485,1.8055,1.763875,1.724,1.685625,1.64875,1.6135,1.579375,1.547,1.514875,1.484125,1.455125,1.42675,1.400375,1.3735,1.349125,1.3245,1.30175,1.278875,1.257875,1.23625,1.2165,1.197125,1.1785,1.160625,1.143875,1.12625,1.110875,1.094375,1.080125,1.06475,1.051625,1.037625,1.024625,1.01075,0.999625,0.98725,0.976125,0.964125,0.953625,0.9435,0.933125,0.923375,0.91425,0.9055,0.895875,0.88775,0.879,0.869875,0.86225,0.854375,0.847125,0.84025,0.833125,0.82625,0.819625,0.8125,0.806625,0.8005,0.795,0.789,0.783875,0.7785,0.77325,0.767625,0.76275,0.75775,0.752875,0.74825,0.74425,0.739625,0.735625,0.731625,0.727125,0.724,0.720125,0.715875,0.713,0.70925,0.70575,0.702625,0.699125,0.696125,0.693875,0.691125,0.687375,0.6845,0.682125,0.679375,0.67725,0.674625,0.671875,0.66975,0.667625,0.66575,0.66425,0.661875,0.659625,0.657,0.656,0.654375,0.65225,0.650625,0.648,0.6465,0.644875,0.643375,0.641875,0.640375,0.638625,0.637625
Pulse_6,0.534,0.5695,0.62225,0.678125,0.73325,0.7895,0.845375,0.900625,0.955125,1.008875,1.061625,1.1135,1.16475,1.21375,1.262125,1.309875,1.3555,1.399125,1.443,1.484125,1.523,1.562375,1.599125,1.633875,1.668875,1.702125,1.733625,1.7635,1.792875,1.81925,1.847125,1.871125,1.896375,1.91825,1.939,1.961375,1.980625,1.99725,2.016375,2.032625,2.04825,2.0625,2.076125,2.087875,2.0995,2.1125,2.122875,2.131625,2.142,2.150625,2.15875,2.165375,2.172375,2.179625,2.18425,2.18975,2.19625,2.201,2.203875,2.208875,2.2125,2.21575,2.21875,2.22125,2.22375,2.225125,2.22775,2.228125,2.230875,2.232,2.232125,2.23425,2.23475,2.235,2.23475,2.236625,2.235625,2.235125,2.2365,2.23725,2.235875,2.234875,2.236125,2.235,2.23325,2.234375,2.23375,2.232,2.232375,2.2305,2.2305,2.229625,2.22725,2.228125,2.2265,2.226125,2.224625,2.223125,2.22075,2.221375,2.22,2.219,2.217,2.217,2.21575,2.214625,2.2125,2.21175,2.2105,2.209875,2.2075,2.2065,2.206,2.204125,2.20475,2.2035,2.202375,2.19975,2.200125,2.198875,2.19725,2.19625,2.19525,2.19325,2.192125,2.626625,2.573375,2.504125,2.437375,2.3725,2.310125,2.25,2.19225,2.136,2.082875,2.030375,1.980375,1.932625,1.885875,1.840875,1.798375,1.7565,1.71725,1.678375,1.6415,1.60675,1.572625,1.539375,1.508125,1.477625,1.448625,1.4205,1.3935,1.3675,1.342125,1.31825,1.295125,1.27275,1.251125,1.230125,1.2105,1.191125,1.172625,1.154875,1.13725,1.1205,1.104875,1.088875,1.074,1.059375,1.04575,1.032125,1.018625,1.00575,0.99425,0.98175,0.970375,0.959625,0.94875,0.938,0.928,0.91825,0.90875,0.89975,0.890625,0.88225,0.873375,0.865125,0.8575,0.849875,0.84275,0.835,0.828375,0.822,0.8145,0.808375,0.802,0.796125,0.79025,0.784375,0.779,0.7735,0.768875,0.763625,0.75825,0.753625,0.748875,0.744375,0.740375,0.73625,0.731375,0.7275,0.72425,0.71975,0.716375,0.713,0.709875,0.70575,0.702125,0.699625,0.696125,0.69325,0.69025,0.68725,0.68475,0.682,0.679,0.676625,0.674125,0.6715,0.66925,0.666875,0.664875,0.6625,0.660625,0.658,0.656625,0.654375,0.65275,0.65075,0.648625,0.64675,0.6455,0.643375,0.642125,0.639875,0.63875,0.63725,0.63575,0.63425
Pulse_7,0.532,0.566375,0.620125,0.6755,0.731375,0.787,0.842375,0.8975,0.951875,1.005375,1.058875,1.110375,1.161375,1.211125,1.259625,1.3065,1.352125,1.3965,1.438625,1.47975,1.51925,1.557375,1.5945,1.630125,1.664,1.697,1.728125,1.758,1.78675,1.81425,1.8405,1.86525,1.88925,1.91075,1.9325,1.953,1.97225,1.989125,2.00675,2.024625,2.039625,2.054125,2.067375,2.0805,2.0925,2.1035,2.112375,2.124375,2.133375,2.14225,2.149375,2.15725,2.164625,2.169625,2.177375,2.182875,2.186625,2.191625,2.196125,2.200625,2.205125,2.20725,2.211,2.21275,2.21625,2.21725,2.22,2.2205,2.223125,2.22475,2.225875,2.225875,2.226,2.22825,2.2285,2.228875,2.22925,2.2275,2.22925,2.2275,2.228875,2.228625,2.22825,2.22625,2.227875,2.227125,2.225625,2.224,2.22525,2.224375,2.223625,2.221625,2.222,2.221375,2.218875,2.218625,2.2185,2.216375,2.216375,2.215,2.21425,2.213375,2.21225,2.20975,2.21,2.208625,2.206625,2.206375,2.2055,2.204375,2.201875,2.202125,2.199,2.199625,2.1985,2.1975,2.195,2.194,2.193625,2.19175,2.191875,2.19025,2.189875,2.188875,2.18675,2.61975,2.566625,2.49775,2.43025,2.3655,2.303125,2.243375,2.18525,2.129375,2.074875,2.02325,1.97375,1.925,1.879375,1.834125,1.79175,1.75,1.71025,1.671875,1.63525,1.6,1.565875,1.533125,1.501625,1.471875,1.4425,1.4145,1.38725,1.36125,1.33675,1.312875,1.289625,1.26725,1.24575,1.225375,1.2055,1.18625,1.167875,1.14975,1.13275,1.11625,1.10025,1.083875,1.07,1.05575,1.0415,1.028,1.01475,1.002625,0.99025,0.978125,0.967375,0.95575,0.9455,0.935375,0.925125,0.915,0.905875,0.896375,0.888125,0.8795,0.871625,0.863,0.855125,0.847875,0.8405,0.83275,0.8265,0.819375,0.813375,0.80675,0.800875,0.795,0.789625,0.7835,0.778375,0.77225,0.767625,0.76275,0.757875,0.75325,0.748375,0.744125,0.740625,0.7355,0.731875,0.7275,0.7235,0.72,0.71625,0.71225,0.70925,0.70625,0.702625,0.699625,0.696625,0.693875,0.691,0.688,0.68525,0.6825,0.680375,0.677125,0.674625,0.6725,0.67025,0.66825,0.66575,0.66425,0.661875,0.65975,0.65775,0.656,0.654875,0.651875,0.65075,0.64925,0.646875,0.646,0.64375,0.64275,0.641125,0.639875,0.638375,0.637125
Pulse_8,0.53425,0.569,0.622875,0.678625,0.734625,0.790625,0.84625,0.901625,0.95625,1.01025,1.063125,1.11525,1.166875,1.216375,1.265375,1.312875,1.358,1.401875,1.44425,1.486,1.5255,1.564,1.601125,1.6365,1.669875,1.7025,1.73425,1.764,1.79225,1.819875,1.845125,1.86975,1.892,1.91525,1.936375,1.9545,1.97475,1.992375,2.00925,2.025125,2.03925,2.0525,2.0675,2.078875,2.0915,2.10175,2.11225,2.120625,2.131375,2.138875,2.145625,2.15475,2.161125,2.1675,2.171875,2.176875,2.183125,2.186625,2.192375,2.19625,2.19825,2.203,2.20425,2.209125,2.2095,2.21275,2.214375,2.214875,2.217875,2.21925,2.218875,2.2205,2.22175,2.22125,2.223375,2.22375,2.22375,2.222125,2.224,2.223375,2.222,2.222875,2.22175,2.2225,2.2205,2.22025,2.221125,2.220125,2.2195,2.21725,2.21825,2.217,2.21675,2.21575,2.21475,2.212625,2.212625,2.2125,2.210625,2.21,2.20775,2.2085,2.205625,2.20625,2.20525,2.20425,2.202125,2.201875,2.200875,2.1995,2.198375,2.196625,2.196375,2.19475,2.193125,2.1925,2.1915,2.189125,2.189875,2.189,2.188125,2.18675,2.185625,2.18475,2.182875,2.61475,2.561,2.49175,2.425375,2.360125,2.298125,2.238,2.18025,2.12425,2.0705,2.018625,1.96925,1.9215,1.874875,1.830125,1.788125,1.74625,1.707,1.669125,1.63275,1.59725,1.5635,1.53125,1.5,1.470125,1.441375,1.41375,1.38725,1.361625,1.337,1.3135,1.290875,1.269125,1.24775,1.2275,1.20825,1.189,1.17125,1.15375,1.136875,1.119875,1.1045,1.089875,1.075,1.0605,1.047,1.034,1.0215,1.008875,0.99725,0.985375,0.9745,0.9635,0.95325,0.942625,0.93325,0.924125,0.915,0.905875,0.897625,0.88875,0.881,0.873375,0.86625,0.8585,0.851375,0.844875,0.838125,0.831125,0.82525,0.819125,0.813375,0.807625,0.802,0.7965,0.791625,0.786125,0.781625,0.776125,0.77225,0.7675,0.763125,0.759,0.755,0.75125,0.747125,0.743375,0.7395,0.736,0.732375,0.72925,0.725875,0.722875,0.719375,0.717125,0.713875,0.7115,0.708625,0.706,0.703375,0.701,0.6985,0.696125,0.69375,0.691875,0.68975,0.68725,0.6855,0.683875,0.681625,0.680125,0.6785,0.676625,0.675125,0.673,0.671875,0.670375,0.669125,0.66775,0.666375,0.664875,0.66325,0.662375,0.66125,0.660375
Pulse_9,0.55375,0.590125,0.64525,0.702375,0.760625,0.818625,0.876,0.932875,0.989125,1.044375,1.098625,1.152125,1.204375,1.255625,1.305,1.3535,1.400125,1.445375,1.48875,1.53075,1.571,1.609875,1.647125,1.68175,1.717125,1.74975,1.780375,1.811,1.839375,1.86575,1.89175,1.9165,1.938875,1.9615,1.981875,2.002125,2.020625,2.038,2.0545,2.0685,2.084375,2.09725,2.110875,2.122875,2.133,2.144625,2.154625,2.162875,2.17225,2.1805,2.18675,2.19325,2.201875,2.207125,2.21175,2.21725,2.22225,2.225375,2.230375,2.23375,2.23575,2.24,2.241875,2.24475,2.24575,2.24825,2.248625,2.251125,2.252,2.253125,2.254,2.253125,2.254125,2.255,2.25475,2.254125,2.255,2.25375,2.2535,2.25275,2.251875,2.25275,2.25075,2.251625,2.249875,2.248125,2.2485,2.247,2.245375,2.244875,2.24275,2.24325,2.242,2.240875,2.238125,2.23875,2.237125,2.235875,2.232625,2.23175,2.232375,2.230875,2.229625,2.22725,2.224875,2.22575,2.2235,2.221625,2.2215,2.219625,2.2185,2.21575,2.216125,2.214625,2.213375,2.21225,2.211125,2.209875,2.2075,2.206875,2.204375,2.202875,2.20375,2.201875,2.201,2.63425,2.58125,2.512125,2.445125,2.380375,2.318375,2.258875,2.201625,2.146375,2.093,2.041,1.992125,1.9445,1.898125,1.854,1.812,1.770875,1.731875,1.694375,1.6595,1.623375,1.5905,1.559,1.528875,1.499125,1.471,1.4445,1.418625,1.3935,1.370125,1.346625,1.32425,1.303375,1.28275,1.262375,1.24425,1.22625,1.2085,1.191375,1.17525,1.15925,1.1435,1.129,1.1145,1.10125,1.087875,1.075,1.062875,1.050625,1.03875,1.02775,1.016875,1.0065,0.9965,0.986875,0.977,0.967625,0.959,0.95025,0.942375,0.934125,0.926125,0.91875,0.911625,0.904375,0.8975,0.890875,0.88475,0.8785,0.87175,0.866125,0.86125,0.85525,0.85025,0.84475,0.840125,0.835125,0.8305,0.825875,0.8215,0.817375,0.813125,0.80925,0.805125,0.801375,0.797875,0.794375,0.791125,0.788,0.78475,0.7815,0.778,0.775625,0.77275,0.769625,0.767,0.76475,0.762375,0.759875,0.7575,0.755125,0.753375,0.751375,0.7485,0.746875,0.745125,0.743375,0.741625,0.7395,0.738375,0.736625,0.73475,0.7335,0.73225,0.7305,0.72975,0.72825,0.726875,0.7255,0.7245,0.72325,0.72275,0.7215,0.72075,0.72
Pulse_10,0.604,0.64225,0.7025,0.7635,0.825375,0.887,0.94775,1.008125,1.06725,1.1255,1.182625,1.238875,1.293375,1.346125,1.398125,1.448,1.496125,1.542875,1.58725,1.6305,1.67275,1.711875,1.74925,1.785,1.81925,1.85175,1.882375,1.911875,1.9395,1.96475,1.99125,2.01525,2.03725,2.05825,2.078,2.0965,2.11375,2.13,2.1455,2.159625,2.173125,2.184625,2.197375,2.207875,2.217375,2.22725,2.2375,2.244125,2.253125,2.260125,2.265,2.272625,2.2765,2.281625,2.28775,2.291875,2.295375,2.29875,2.302,2.3045,2.305375,2.308875,2.31075,2.311125,2.31175,2.314375,2.314875,2.31575,2.314125,2.316625,2.315125,2.3155,2.314,2.315125,2.3145,2.3135,2.311375,2.31125,2.311,2.3085,2.308875,2.3065,2.306625,2.304,2.30225,2.300375,2.300625,2.299125,2.297125,2.29475,2.29475,2.292625,2.2915,2.28975,2.2865,2.2865,2.284875,2.281375,2.28125,2.277875,2.27775,2.274875,2.272875,2.273,2.27075,2.267625,2.2675,2.266125,2.264,2.26125,2.261375,2.25925,2.25775,2.256125,2.253,2.253125,2.25125,2.24975,2.248,2.2465,2.245,2.241875,2.241875,2.240625,2.23725,2.679125,2.62625,2.558125,2.493125,2.428,2.366375,2.3075,2.25075,2.196,2.14325,2.092125,2.043625,1.996375,1.950875,1.907,1.865125,1.824875,1.786375,1.74925,1.713875,1.6805,1.6485,1.617125,1.587875,1.5595,1.532,1.505,1.48025,1.45575,1.433,1.41,1.388625,1.367375,1.34725,1.3275,1.309375,1.290875,1.274125,1.25675,1.240625,1.225125,1.2095,1.195125,1.18125,1.1675,1.154375,1.14225,1.129125,1.117375,1.106,1.09525,1.084625,1.07325,1.06375,1.054375,1.0445,1.035625,1.0265,1.018375,1.010375,1.001625,0.993875,0.98725,0.9795,0.972625,0.965375,0.958125,0.9525,0.945625,0.941,0.9345,0.92775,0.922625,0.917625,0.912375,0.907125,0.9035,0.8985,0.89375,0.889,0.885,0.880625,0.8765,0.87275,0.869125,0.865,0.862,0.858125,0.85525,0.851875,0.848875,0.846375,0.843,0.8405,0.83775,0.835375,0.83225,0.82975,0.8275,0.825125,0.823625,0.821625,0.818875,0.817375,0.81575,0.81425,0.812125,0.810375,0.808375,0.807125,0.805625,0.803625,0.802625,0.801375,0.80025,0.7985,0.797625,0.796875,0.795375,0.795,0.793875,0.792625,0.791625,0.790625,0.79
