Pulse_Index,Point_0,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16,Point_17,Point_18,Point_19,Point_20,Point_21,Point_22,Point_23,Point_24,Point_25,Point_26,Point_27,Point_28,Point_29,Point_30,Point_31,Point_32,Point_33,Point_34,Point_35,Point_36,Point_37,Point_38,Point_39,Point_40,Point_41,Point_42,Point_43,Point_44,Point_45,Point_46,Point_47,Point_48,Point_49,Point_50,Point_51,Point_52,Point_53,Point_54,Point_55,Point_56,Point_57,Point_58,Point_59,Point_60,Point_61,Point_62,Point_63,Point_64,Point_65,Point_66,Point_67,Point_68,Point_69,Point_70,Point_71,Point_72,Point_73,Point_74,Point_75,Point_76,Point_77,Point_78,Point_79,Point_80,Point_81,Point_82,Point_83,Point_84,Point_85,Point_86,Point_87,Point_88,Point_89,Point_90,Point_91,Point_92,Point_93,Point_94,Point_95,Point_96,Point_97,Point_98,Point_99,Point_100,Point_101,Point_102,Point_103,Point_104,Point_105,Point_106,Point_107,Point_108,Point_109,Point_110,Point_111,Point_112,Point_113,Point_114,Point_115,Point_116,Point_117,Point_118,Point_119,Point_120,Point_121,Point_122,Point_123,Point_124,Point_125,Point_126,Point_127,Point_128,Point_129,Point_130,Point_131,Point_132,Point_133,Point_134,Point_135,Point_136,Point_137,Point_138,Point_139,Point_140,Point_141,Point_142,Point_143,Point_144,Point_145,Point_146,Point_147,Point_148,Point_149,Point_150,Point_151,Point_152,Point_153,Point_154,Point_155,Point_156,Point_157,Point_158,Point_159,Point_160,Point_161,Point_162,Point_163,Point_164,Point_165,Point_166,Point_167,Point_168,Point_169,Point_170,Point_171,Point_172,Point_173,Point_174,Point_175,Point_176,Point_177,Point_178,Point_179,Point_180,Point_181,Point_182,Point_183,Point_184,Point_185,Point_186,Point_187,Point_188,Point_189,Point_190,Point_191,Point_192,Point_193,Point_194,Point_195,Point_196,Point_197,Point_198,Point_199,Point_200,Point_201,Point_202,Point_203,Point_204,Point_205,Point_206,Point_207,Point_208,Point_209,Point_210,Point_211,Point_212,Point_213,Point_214,Point_215,Point_216,Point_217,Point_218,Point_219,Point_220,Point_221,Point_222,Point_223,Point_224,Point_225,Point_226,Point_227,Point_228,Point_229,Point_230,Point_231,Point_232,Point_233,Point_234,Point_235,Point_236,Point_237,Point_238,Point_239,Point_240,Point_241,Point_242,Point_243,Point_244,Point_245,Point_246,Point_247,Point_248,Point_249
Pulse_1,0.5075,0.543,0.5965,0.652625,0.709,0.766,0.82275,0.87975,0.935375,0.991,1.045625,1.09975,1.152,1.203625,1.255,1.30275,1.3495,1.39425,1.438375,1.4805,1.520375,1.56075,1.5985,1.633875,1.66725,1.700875,1.7325,1.761375,1.79025,1.818,1.844625,1.869375,1.89225,1.913125,1.934375,1.955125,1.972875,1.991875,2.00775,2.02475,2.039375,2.05275,2.06675,2.0805,2.092375,2.10225,2.113875,2.122375,2.133125,2.141875,2.14825,2.155875,2.1635,2.171375,2.17775,2.182125,2.187875,2.19325,2.198625,2.20275,2.206125,2.209625,2.2135,2.216,2.217625,2.222125,2.224375,2.225,2.228125,2.22975,2.23025,2.23275,2.23375,2.233375,2.234875,2.237,2.238125,2.238125,2.2395,2.2395,2.238125,2.238375,2.240375,2.24,2.238375,2.237875,2.238,2.238625,2.23825,2.237375,2.236125,2.236625,2.2365,2.236625,2.23675,2.2365,2.235875,2.2345,2.234,2.23375,2.23275,2.23175,2.23025,2.231375,2.228625,2.2295,2.22675,2.22825,2.225875,2.226375,2.22625,2.22425,2.223625,2.2245,2.223375,2.223,2.22025,2.22125,2.22075,2.2195,2.217125,2.216625,2.21625,2.21675,2.21625,2.6,2.544,2.472,2.402375,2.33475,2.26975,2.20725,2.146875,2.088125,2.032375,1.978375,1.9265,1.877375,1.82875,1.783,1.73875,1.696125,1.6555,1.61625,1.578625,1.5425,1.507625,1.474375,1.44275,1.41225,1.38225,1.35425,1.326875,1.30075,1.275875,1.251875,1.22875,1.206375,1.184625,1.165,1.144375,1.12475,1.106625,1.089375,1.072125,1.0555,1.039375,1.02425,1.009875,0.99525,0.981875,0.968,0.95575,0.94275,0.930625,0.91875,0.908125,0.897,0.886625,0.876,0.8665,0.857125,0.848375,0.839125,0.830375,0.82325,0.814,0.806375,0.798375,0.791,0.784375,0.777125,0.770625,0.76475,0.75775,0.751125,0.746125,0.74,0.734375,0.7295,0.724875,0.719625,0.71525,0.7095,0.705625,0.701,0.69675,0.692375,0.688125,0.684875,0.680625,0.676625,0.67325,0.66975,0.66625,0.6635,0.65975,0.656875,0.653625,0.65125,0.6485,0.645375,0.64275,0.640375,0.63775,0.6355,0.633625,0.6315,0.62825,0.627,0.624625,0.622625,0.62025,0.618375,0.61675,0.614375,0.6135,0.6115,0.609625,0.608,0.606625,0.605375,0.603875,0.602375,0.6015,0.599625,0.598375,0.597125,0.596,0.594625
Pulse_2,0.50925,0.5445,0.59825,0.654875,0.711375,0.768375,0.825125,0.88175,0.93825,0.99375,1.048125,1.102,1.154625,1.206625,1.2575,1.30525,1.3525,1.397875,1.441625,1.483875,1.52375,1.56275,1.60075,1.63575,1.67025,1.704125,1.735375,1.764125,1.792625,1.8205,1.84525,1.871125,1.893625,1.917,1.936875,1.959,1.977875,1.9945,2.013125,2.027625,2.043375,2.05525,2.06975,2.082625,2.09475,2.1055,2.117375,2.127625,2.13775,2.143625,2.152625,2.159,2.16875,2.175375,2.182625,2.19,2.19125,2.196375,2.201125,2.207,2.209125,2.211625,2.216,2.219125,2.2215,2.22475,2.226,2.22975,2.23,2.232,2.235875,2.23475,2.237625,2.23725,2.23825,2.24125,2.240375,2.2425,2.243,2.24025,2.240375,2.2405,2.241375,2.24225,2.2415,2.239375,2.23925,2.243375,2.244125,2.239625,2.238875,2.23825,2.23625,2.235875,2.235875,2.236375,2.235,2.23525,2.2345,2.2325,2.23275,2.2325,2.23025,2.23025,2.2305,2.23,2.22925,2.226875,2.22775,2.226375,2.22575,2.224875,2.223,2.222125,2.222625,2.2215,2.220125,2.21825,2.2175,2.217875,2.216875,2.214375,2.213875,2.214375,2.21325,2.595875,2.540125,2.46775,2.398125,2.330625,2.2655,2.203,2.143,2.08475,2.028375,1.97475,1.92275,1.873,1.8245,1.77825,1.7345,1.691625,1.651,1.6115,1.574125,1.537875,1.503375,1.47,1.43825,1.4075,1.377625,1.349375,1.322125,1.29625,1.27125,1.24675,1.2235,1.20125,1.179625,1.158375,1.139,1.1195,1.101875,1.0835,1.066875,1.05025,1.034625,1.02,1.005375,0.99,0.976875,0.9635,0.951,0.9385,0.925375,0.914875,0.90425,0.892625,0.882,0.8725,0.862625,0.85325,0.84425,0.835125,0.82625,0.818625,0.81025,0.8025,0.795125,0.78775,0.780875,0.77375,0.76725,0.761,0.754875,0.74875,0.743125,0.7375,0.731875,0.726375,0.721125,0.7165,0.711875,0.70675,0.702375,0.6975,0.6935,0.68925,0.685625,0.68175,0.67725,0.674125,0.6705,0.667,0.663375,0.66,0.65675,0.653625,0.65075,0.647625,0.644625,0.642125,0.639375,0.636875,0.63425,0.631875,0.629375,0.627625,0.625,0.622625,0.621125,0.619125,0.617125,0.61475,0.6135,0.611375,0.60925,0.607625,0.606125,0.604125,0.60275,0.601375,0.59925,0.5985,0.596875,0.59525,0.594375,0.593,0.59175,0.590125
Pulse_3,0.506,0.541375,0.595,0.651125,0.70775,0.76425,0.821,0.87775,0.933375,0.988625,1.0435,1.097,1.149375,1.200875,1.251,1.298875,1.34625,1.392,1.4355,1.478125,1.519375,1.55825,1.596,1.632,1.666125,1.6995,1.730625,1.764,1.7925,1.81625,1.842,1.866625,1.89,1.91225,1.933,1.953,1.971375,1.989,2.005625,2.02225,2.036375,2.05025,2.0635,2.07575,2.087375,2.098375,2.10875,2.118125,2.127125,2.134875,2.142625,2.14975,2.1565,2.163125,2.168875,2.17375,2.17875,2.183,2.1875,2.191375,2.194,2.197375,2.200375,2.202625,2.20475,2.207125,2.20875,2.21,2.211125,2.2125,2.21375,2.21525,2.215625,2.21625,2.2165,2.216625,2.2165,2.217125,2.216625,2.216125,2.216125,2.215125,2.2155,2.215125,2.2145,2.21325,2.21275,2.212,2.211125,2.21,2.20925,2.20825,2.20725,2.20625,2.20525,2.20425,2.203,2.202,2.2015,2.20025,2.20025,2.1985,2.196875,2.1955,2.193625,2.19225,2.1905,2.18925,2.187875,2.186625,2.185375,2.183875,2.18225,2.181375,2.17975,2.178375,2.176875,2.175625,2.174625,2.172875,2.17175,2.170375,2.16925,2.16775,2.167,2.5375,2.48025,2.406875,2.335,2.2675,2.200875,2.1365,2.075875,2.01775,1.961875,1.90725,1.85375,1.8035,1.755625,1.7085,1.66575,1.6225,1.582875,1.542875,1.50525,1.468125,1.434,1.400625,1.369125,1.338375,1.30925,1.281,1.2535,1.227625,1.203125,1.17925,1.156,1.134625,1.1135,1.093125,1.073625,1.05475,1.0365,1.0195,1.002625,0.986875,0.971875,0.956125,0.94175,0.928375,0.915,0.90275,0.89025,0.878625,0.865375,0.85475,0.844,0.832875,0.82325,0.8135,0.805375,0.795125,0.7875,0.77775,0.769875,0.761625,0.754625,0.74675,0.73975,0.732375,0.726,0.71925,0.71325,0.7075,0.70225,0.696625,0.690375,0.6845,0.679625,0.676,0.669,0.6655,0.65975,0.656375,0.651125,0.647,0.6435,0.63925,0.6345,0.631,0.62725,0.6235,0.620375,0.6175,0.613875,0.610625,0.608,0.60475,0.60175,0.599,0.596375,0.593875,0.591,0.58875,0.585875,0.58375,0.58175,0.57925,0.57775,0.5755,0.573125,0.571625,0.569,0.568,0.566125,0.564625,0.563,0.561125,0.5595,0.557875,0.55575,0.554625,0.553125,0.551875,0.550875,0.5495,0.548375,0.54725,0.54725,0.545
Pulse_4,0.468125,0.501375,0.552125,0.606,0.6595,0.714375,0.76875,0.823625,0.87675,0.930375,0.982375,1.0345,1.085125,1.136375,1.184625,1.2315,1.2785,1.324,1.36575,1.408375,1.44825,1.48775,1.526375,1.560625,1.59525,1.6285,1.661,1.691125,1.720875,1.747625,1.77425,1.799625,1.823875,1.846375,1.86825,1.88975,1.909,1.92825,1.946125,1.96275,1.97875,1.994,2.008375,2.022,2.03425,2.0465,2.05775,2.0685,2.07825,2.08775,2.096125,2.104375,2.111625,2.120125,2.126875,2.133375,2.138125,2.144375,2.149625,2.149125,2.154375,2.161375,2.163375,2.1675,2.16925,2.170875,2.173125,2.175,2.176375,2.178375,2.17975,2.179125,2.181125,2.180875,2.18225,2.180875,2.183875,2.181125,2.181375,2.181375,2.181375,2.181625,2.181125,2.181125,2.181,2.18025,2.180125,2.180125,2.1795,2.179,2.177875,2.17725,2.1765,2.17575,2.1785,2.17825,2.17775,2.1755,2.174875,2.173875,2.1715,2.17125,2.16975,2.168875,2.16775,2.16575,2.165,2.16275,2.162375,2.162125,2.1605,2.159875,2.1585,2.1585,2.1565,2.15525,2.15425,2.15375,2.151875,2.151125,2.1505,2.15125,2.14875,2.146875,2.146625,2.51075,2.453375,2.378875,2.308,2.238,2.17125,2.107125,2.0455,1.98625,1.929375,1.87475,1.821875,1.772125,1.724,1.677625,1.633125,1.59075,1.55,1.510875,1.47375,1.437875,1.404625,1.371125,1.34,1.30975,1.2805,1.251875,1.22525,1.201125,1.175,1.150625,1.1275,1.107125,1.08625,1.065875,1.046875,1.02975,1.010875,0.99425,0.978125,0.962375,0.94575,0.931375,0.917,0.902375,0.890125,0.878125,0.864375,0.853625,0.842625,0.829875,0.820125,0.8095,0.799375,0.79075,0.7805,0.77325,0.763875,0.754375,0.74775,0.73975,0.7315,0.725125,0.718,0.712125,0.704625,0.697625,0.689375,0.684125,0.6785,0.6735,0.6675,0.66225,0.656,0.651125,0.64675,0.642125,0.6375,0.63275,0.628375,0.624875,0.62075,0.61675,0.61275,0.60875,0.606125,0.601875,0.5985,0.5955,0.5925,0.589375,0.586125,0.5835,0.5805,0.57775,0.575125,0.57175,0.569625,0.5675,0.565125,0.56275,0.560125,0.558625,0.55625,0.553875,0.552375,0.5505,0.548625,0.546875,0.545125,0.543375,0.54175,0.539625,0.5385,0.53725,0.5355,0.535125,0.532875,0.53125,0.529875,0.52875,0.5275,0.526,0.525,0.52375
Pulse_5,0.4505,0.4825,0.532375,0.584625,0.636875,0.689875,0.743375,0.796625,0.8495,0.902,0.95375,1.00475,1.0545,1.104375,1.152,1.2005,1.2445,1.2885,1.331875,1.373625,1.4135,1.452625,1.48975,1.525375,1.560125,1.59325,1.625,1.655625,1.68475,1.71275,1.73925,1.76525,1.7895,1.814625,1.837375,1.8545,1.87475,1.896875,1.916375,1.931,1.946625,1.961125,1.978,1.989375,2.00425,2.014875,2.027875,2.037625,2.047625,2.059125,2.068875,2.077625,2.085125,2.0925,2.0995,2.106125,2.111375,2.11725,2.12225,2.12675,2.13075,2.135,2.138375,2.1415,2.144625,2.147875,2.149875,2.152625,2.154625,2.1565,2.158,2.1595,2.161,2.161625,2.162875,2.163875,2.164125,2.165,2.165125,2.165125,2.165125,2.165625,2.165625,2.165625,2.165625,2.165125,2.165,2.166375,2.165375,2.164625,2.1635,2.16275,2.161625,2.160875,2.1595,2.159125,2.158,2.15725,2.15625,2.155625,2.154,2.15325,2.152375,2.151625,2.151,2.150125,2.148625,2.14825,2.147,2.147125,2.145875,2.14425,2.1435,2.143,2.142,2.1415,2.140625,2.13925,2.13825,2.137375,2.136375,2.135375,2.13425,2.13375,2.13275,2.495125,2.43775,2.364375,2.292625,2.22425,2.157875,2.093875,2.03225,1.9725,1.9165,1.860375,1.808875,1.7585,1.710125,1.663875,1.6185,1.577,1.537,1.4975,1.460625,1.424,1.389625,1.356875,1.32625,1.295375,1.26525,1.2375,1.2115,1.185625,1.16125,1.13725,1.114625,1.09275,1.072,1.052,1.032875,1.016375,0.997125,0.979375,0.962875,0.946625,0.932,0.916875,0.903,0.88975,0.87625,0.86375,0.85275,0.8405,0.828375,0.818125,0.807625,0.798125,0.78775,0.77775,0.7685,0.75975,0.75125,0.743125,0.73475,0.72775,0.72025,0.71275,0.7055,0.698625,0.692375,0.686,0.68025,0.6745,0.6685,0.662875,0.65825,0.652625,0.647625,0.642375,0.637625,0.63375,0.62825,0.623875,0.621375,0.6155,0.61225,0.6085,0.60425,0.600875,0.597125,0.5935,0.590125,0.5865,0.583375,0.58075,0.5785,0.575,0.572,0.569125,0.566875,0.563875,0.5615,0.560375,0.557,0.554875,0.55325,0.550625,0.548625,0.54725,0.545,0.543,0.5415,0.538875,0.537875,0.5365,0.534625,0.533,0.531625,0.529875,0.528125,0.527,0.52575,0.524375,0.522625,0.52175,0.5195,0.518125,0.517875,0.516375
Pulse_6,0.444,0.47675,0.52475,0.57675,0.628625,0.681375,0.73425,0.787,0.839875,0.892375,0.9435,0.994125,1.04375,1.092625,1.14075,1.1865,1.231625,1.276125,1.31875,1.36025,1.4,1.438625,1.476125,1.512,1.546125,1.579125,1.61125,1.6415,1.67,1.698125,1.725125,1.7505,1.77475,1.797875,1.819875,1.841375,1.861125,1.880375,1.89875,1.91575,1.932625,1.947875,1.962625,1.976875,1.98975,2.002375,2.014625,2.025125,2.035875,2.045875,2.054875,2.06375,2.071875,2.07925,2.08625,2.092625,2.0995,2.1055,2.110125,2.114625,2.118875,2.12275,2.125875,2.129125,2.132125,2.135125,2.137375,2.139625,2.1415,2.143625,2.145,2.1465,2.1475,2.149,2.150375,2.150625,2.151625,2.15225,2.15275,2.153375,2.15375,2.153875,2.154,2.153875,2.153875,2.154,2.153625,2.1535,2.153375,2.153125,2.152875,2.15275,2.15225,2.152125,2.151375,2.150875,2.150625,2.150125,2.14925,2.1475,2.148125,2.148,2.14625,2.14475,2.14575,2.145375,2.143125,2.14325,2.143375,2.14275,2.141875,2.1405,2.14,2.1405,2.139625,2.138625,2.13675,2.1365,2.1345,2.135375,2.134125,2.131625,2.1315,2.131,2.130375,2.491875,2.434625,2.3605,2.288875,2.219375,2.15375,2.087375,2.0255,1.9665,1.9095,1.85575,1.80275,1.75225,1.704125,1.658125,1.614,1.57125,1.530875,1.491625,1.45375,1.418625,1.384375,1.352125,1.319875,1.29025,1.261125,1.2335,1.207125,1.18175,1.157125,1.133125,1.111,1.089125,1.068125,1.04775,1.02875,1.01075,0.992625,0.97525,0.9595,0.9425,0.927875,0.913125,0.898875,0.885375,0.87275,0.859875,0.84775,0.836125,0.825125,0.813625,0.80325,0.79325,0.783125,0.774,0.765,0.756,0.7475,0.739,0.731,0.723125,0.71625,0.7085,0.701375,0.69425,0.68875,0.682375,0.676,0.66975,0.66425,0.65875,0.653,0.647875,0.6435,0.638625,0.634,0.6285,0.6245,0.620125,0.616,0.61175,0.6075,0.603875,0.600375,0.597,0.593125,0.589375,0.5875,0.5825,0.579625,0.576625,0.573625,0.57025,0.568125,0.5655,0.562625,0.559625,0.558,0.55575,0.553375,0.5505,0.548625,0.5465,0.544875,0.542375,0.540125,0.538,0.536125,0.5345,0.533,0.531125,0.52975,0.527875,0.526875,0.52525,0.523625,0.521625,0.5205,0.519,0.517875,0.5165,0.5155,0.514,0.513125,0.511625
Pulse_7,0.44025,0.47225,0.521,0.572125,0.624,0.676625,0.728875,0.782,0.834375,0.886125,0.937625,0.98775,1.03775,1.0865,1.134375,1.181,1.226625,1.270625,1.313,1.355,1.3955,1.433375,1.470875,1.505375,1.539375,1.572375,1.6035,1.633125,1.66225,1.689375,1.715625,1.740875,1.765,1.787,1.809375,1.830375,1.8505,1.87075,1.888625,1.906,1.922,1.93775,1.952375,1.96525,1.9785,1.991125,2.004625,2.01575,2.026,2.035875,2.044125,2.052625,2.0615,2.0695,2.076375,2.084,2.08975,2.094375,2.100875,2.105,2.10875,2.113,2.1175,2.121,2.125,2.128875,2.131375,2.13425,2.1345,2.138375,2.14025,2.140625,2.142625,2.1445,2.146375,2.146625,2.1465,2.147375,2.15,2.150125,2.1505,2.149625,2.150125,2.15025,2.151625,2.15125,2.151,2.149875,2.149875,2.150125,2.15075,2.150875,2.150375,2.14975,2.148,2.1475,2.147625,2.14825,2.1475,2.14725,2.145625,2.145125,2.14475,2.145625,2.144375,2.143875,2.143375,2.141375,2.141625,2.1415,2.13975,2.1395,2.13925,2.139,2.136875,2.137375,2.135875,2.136625,2.1355,2.13325,2.133,2.133375,2.131375,2.1315,2.131,2.493625,2.43625,2.362375,2.29025,2.220625,2.153875,2.089625,2.028125,1.968375,1.9115,1.856375,1.80425,1.75425,1.70575,1.659375,1.61525,1.572875,1.531625,1.4925,1.455125,1.419375,1.385125,1.35225,1.3205,1.290375,1.26125,1.23375,1.2075,1.1815,1.157,1.133625,1.11075,1.089,1.068125,1.048,1.029,1.0105,0.992375,0.975625,0.95875,0.94325,0.928125,0.91275,0.898875,0.886,0.872375,0.859875,0.848125,0.83625,0.82475,0.814125,0.803125,0.792875,0.783125,0.7735,0.764125,0.755625,0.747,0.738625,0.730875,0.723,0.715375,0.70825,0.70125,0.694875,0.687875,0.681625,0.6755,0.66975,0.6645,0.6585,0.653,0.647625,0.64275,0.6375,0.63325,0.6285,0.623875,0.6195,0.6155,0.6115,0.60725,0.602625,0.59925,0.595875,0.59275,0.589125,0.586,0.582375,0.579375,0.576375,0.573625,0.570625,0.56775,0.565,0.5625,0.55975,0.5575,0.554875,0.55275,0.5505,0.54825,0.545875,0.543625,0.5415,0.539625,0.53775,0.5355,0.53425,0.5325,0.531125,0.529,0.5275,0.526125,0.5245,0.523125,0.521625,0.52025,0.51875,0.518,0.516375,0.514625,0.51375,0.512125,0.51125
Pulse_8,0.439875,0.47125,0.5205,0.571375,0.62375,0.67575,0.72825,0.781375,0.833875,0.885875,0.937375,0.988,1.037375,1.08625,1.134,1.1805,1.22625,1.270125,1.313625,1.35525,1.3945,1.433,1.46975,1.505125,1.538875,1.57225,1.603125,1.633125,1.662125,1.68875,1.71625,1.74175,1.766,1.788125,1.811,1.83075,1.851125,1.870625,1.89,1.907,1.923125,1.937375,1.952125,1.967625,1.98125,1.993625,2.005375,2.015125,2.02625,2.0365,2.046,2.055125,2.064375,2.071625,2.078625,2.084,2.090375,2.096875,2.10325,2.108,2.11125,2.116125,2.12,2.123875,2.12825,2.131125,2.132375,2.1355,2.13775,2.1405,2.143375,2.14475,2.146625,2.148125,2.147875,2.14925,2.1505,2.151375,2.153375,2.154,2.154125,2.153375,2.153875,2.1545,2.155875,2.155625,2.15575,2.155375,2.153875,2.153875,2.1545,2.154,2.15475,2.15475,2.15425,2.15275,2.15275,2.153625,2.153125,2.15175,2.15075,2.150625,2.15025,2.150125,2.14925,2.148875,2.149125,2.148375,2.1475,2.145875,2.145,2.145,2.1445,2.144125,2.144375,2.143875,2.142875,2.141,2.14075,2.140375,2.1395,2.139,2.1395,2.138,2.138375,2.50025,2.44375,2.36975,2.29675,2.227,2.160875,2.09575,2.0345,1.975375,1.918,1.862875,1.810875,1.759875,1.712375,1.66525,1.621625,1.578125,1.537625,1.49825,1.460875,1.42525,1.390875,1.357875,1.3265,1.295375,1.266625,1.238375,1.212875,1.18675,1.161625,1.13775,1.115375,1.093625,1.073,1.052875,1.03375,1.014875,0.996875,0.9795,0.963,0.94775,0.93175,0.9175,0.9035,0.88975,0.876375,0.8635,0.851625,0.8395,0.82875,0.817,0.80675,0.79625,0.7865,0.77725,0.76775,0.758625,0.75,0.741875,0.73425,0.726625,0.719375,0.71175,0.704625,0.6975,0.69125,0.685125,0.679125,0.67325,0.66725,0.661625,0.656375,0.65075,0.645375,0.6405,0.636125,0.630625,0.626625,0.62225,0.617875,0.614,0.61,0.60575,0.602875,0.599,0.595125,0.591625,0.588875,0.5855,0.58225,0.57925,0.576125,0.573625,0.570125,0.566875,0.565125,0.562,0.559625,0.557,0.554875,0.55275,0.550375,0.54825,0.5465,0.544,0.5425,0.5405,0.53825,0.53625,0.5355,0.532625,0.53125,0.529875,0.528625,0.52675,0.52525,0.523625,0.521625,0.52075,0.519625,0.518125,0.516875,0.5155,0.515125,0.51325
Pulse_9,0.4415,0.4735,0.522625,0.573875,0.626,0.678875,0.73125,0.784625,0.83675,0.888625,0.940375,0.991625,1.041,1.0905,1.138125,1.184375,1.229375,1.273125,1.3155,1.356,1.395875,1.4335,1.4705,1.507125,1.541375,1.573,1.605875,1.636125,1.663875,1.692875,1.719125,1.743625,1.768125,1.791375,1.814625,1.83525,1.85525,1.873875,1.89175,1.910875,1.92675,1.94225,1.9555,1.97025,1.984875,1.9975,2.008625,2.02025,2.029625,2.039625,2.04925,2.05925,2.067375,2.074875,2.081375,2.08825,2.094375,2.10175,2.107125,2.1125,2.1155,2.121625,2.124875,2.129125,2.131375,2.136,2.139,2.141625,2.142375,2.14475,2.147,2.150125,2.1505,2.152,2.15475,2.156,2.157125,2.158,2.15675,2.15825,2.159875,2.16025,2.161,2.15975,2.1605,2.161375,2.15975,2.1605,2.162,2.162,2.161375,2.1605,2.16025,2.161375,2.16025,2.160625,2.160375,2.158375,2.1585,2.1595,2.157625,2.157375,2.15825,2.157375,2.1555,2.157,2.15625,2.15475,2.15325,2.15425,2.152875,2.15275,2.1515,2.149875,2.149375,2.15025,2.149375,2.149,2.147,2.147,2.147625,2.14675,2.145,2.14425,2.144125,2.50925,2.45225,2.378,2.306375,2.236125,2.169375,2.105125,2.043375,1.984125,1.927,1.872,1.819375,1.768625,1.720375,1.67375,1.62975,1.586375,1.5455,1.505875,1.469,1.432625,1.39875,1.36575,1.334125,1.303625,1.2745,1.2465,1.220125,1.194,1.169,1.14525,1.122875,1.100625,1.079375,1.05925,1.040375,1.02125,1.003625,0.98625,0.96975,0.953875,0.938875,0.923875,0.909,0.895875,0.882625,0.869375,0.8575,0.8455,0.83475,0.823125,0.812625,0.802,0.792375,0.78275,0.773125,0.7645,0.75625,0.747625,0.73925,0.731375,0.724125,0.716625,0.709875,0.702625,0.696125,0.689875,0.683875,0.677375,0.67175,0.666125,0.660875,0.655375,0.650375,0.645875,0.64075,0.63575,0.63125,0.626875,0.623,0.61825,0.61475,0.6105,0.606625,0.603125,0.5995,0.596125,0.592875,0.589625,0.586375,0.582875,0.580375,0.577375,0.5745,0.571875,0.569375,0.566625,0.56425,0.5615,0.55925,0.55625,0.554875,0.552,0.55025,0.548,0.546,0.544,0.5425,0.5405,0.53875,0.537,0.53525,0.533375,0.5325,0.5305,0.529,0.52775,0.526125,0.524875,0.523375,0.5225,0.520625,0.519625,0.5185,0.517125
Pulse_10,0.444875,0.477,0.526125,0.578,0.630625,0.683375,0.736625,0.789125,0.842125,0.8945,0.9465,0.997125,1.047,1.096,1.14425,1.19125,1.23675,1.2805,1.323625,1.36475,1.404875,1.443375,1.481,1.516625,1.55125,1.584375,1.616375,1.646875,1.676,1.7035,1.731125,1.755875,1.780875,1.803375,1.825625,1.847,1.8675,1.88625,1.905125,1.922625,1.93925,1.95475,1.9695,1.983125,1.99625,2.00875,2.02125,2.03225,2.042625,2.0525,2.06225,2.070875,2.079,2.087125,2.094125,2.101,2.107125,2.1125,2.118375,2.123625,2.12825,2.13275,2.136625,2.140625,2.143875,2.1465,2.149,2.15175,2.155,2.15675,2.15875,2.160375,2.162125,2.163875,2.165125,2.16625,2.1675,2.168125,2.169375,2.1695,2.170375,2.170625,2.1715,2.1715,2.17125,2.17175,2.171875,2.17175,2.17175,2.171625,2.171625,2.171375,2.171125,2.170875,2.17,2.17,2.169375,2.16925,2.169,2.17025,2.169375,2.168375,2.167625,2.16675,2.165875,2.1645,2.16425,2.163125,2.1625,2.16175,2.16075,2.16,2.159375,2.15925,2.15825,2.15725,2.1565,2.156,2.15475,2.154125,2.15375,2.152625,2.152,2.151375,2.150875,2.51575,2.459,2.385,2.313625,2.244,2.177375,2.112875,2.050625,1.992125,1.934875,1.879875,1.82725,1.77675,1.728375,1.68175,1.637125,1.594375,1.5535,1.51375,1.476375,1.44,1.406125,1.372375,1.340875,1.310125,1.280625,1.253,1.225875,1.19975,1.175,1.150875,1.127875,1.106625,1.0855,1.065125,1.045875,1.027,1.00925,0.99225,0.975375,0.9595,0.94375,0.929,0.914875,0.901125,0.887875,0.874875,0.862375,0.8505,0.838875,0.828125,0.817,0.8065,0.796625,0.787125,0.77775,0.76875,0.76025,0.751875,0.744125,0.736125,0.7285,0.72125,0.714375,0.70725,0.700625,0.694375,0.688,0.681625,0.675375,0.669875,0.66525,0.658625,0.654,0.64925,0.64425,0.63975,0.635,0.63125,0.625375,0.621875,0.61825,0.614125,0.610625,0.60675,0.60375,0.6,0.59675,0.5935,0.59,0.58725,0.584125,0.581125,0.57825,0.57575,0.5725,0.570375,0.5675,0.565125,0.563125,0.560625,0.558125,0.555875,0.554,0.551875,0.549625,0.54825,0.545875,0.5445,0.542125,0.5405,0.53925,0.537625,0.535625,0.5345,0.532375,0.531375,0.53025,0.528375,0.526875,0.5255,0.524375,0.52325,0.52175,0.521125
