S1,S2,S3,S4,S5,S6,S7,S8
1.00539849,1.000267803,1.000265678,1.000078459,1.001806507,1.000099456,1.000226145,1.000042398
1.005218471,0.999974117,1.000533273,0.999578907,1.001806507,1.00102689,0.999971037,1.000009589
1.005038456,1.000005456,1.001032433,0.999077954,1.001806507,1.002115735,0.999974019,1.00042265
1.004858447,1.000026952,1.001692203,0.99934447,1.001548414,1.003320285,1.000785419,1.000494387
1.004858447,1.000058264,1.002199358,0.998590298,1.001806507,1.00461097,0.999739868,1.000662515
1.004858447,1.000304284,1.002872449,0.998346198,1.002064606,1.005711234,0.999751359,1.000803589
1.004678442,1.000364143,1.003437257,0.998103174,1.001806507,1.006859274,0.999524968,1.000971887
1.004678442,1.000863689,1.004318203,0.998857572,1.001548414,1.007485532,1.000314984,1.001171078
1.004858447,1.000552925,1.005146243,0.99961556,1.001548414,1.008157014,0.999797132,1.001573498
1.003778489,1.000382117,1.005861938,1.000121819,1.001548414,1.008846853,0.999277117,1.001926472
1.004138456,1.000501235,1.006219592,0.999881712,1.001548414,1.009321288,0.998237957,1.002153507
1.004498441,0.999712701,1.006021343,1.000636787,1.002580825,1.009832428,0.997717752,1.002477671
1.004678442,0.998981108,1.005927412,1.000388253,1.00309707,1.010355091,0.996410568,1.002870283
1.005218471,0.998219415,1.005807389,1.000389557,1.003355203,1.010903609,0.99588667,1.003507152
1.00539849,0.997512495,1.005762637,1.001148405,1.003355203,1.011405402,0.99510913,1.003878274
1.00539849,0.996807967,1.006083523,1.00115213,1.004129641,1.011883859,0.99537336,1.004351511
1.005218471,0.995976929,1.005515918,1.000901798,1.004645967,1.012201485,0.994596864,1.004966837
1.00539849,0.995266213,1.005310731,1.00140553,1.005678699,1.012384846,0.993285458,1.005035508
1.005218471,0.994560784,1.004977005,1.000920961,1.006195106,1.01276783,0.991713221,1.005220463
1.005578514,0.994531758,1.004667789,1.00092545,1.005678699,1.012063524,0.990944879,1.005254383
1.00539849,0.994422088,1.00467105,1.000676273,1.005678699,1.01121903,0.991753356,1.005354186
1.00539849,0.994383698,1.00450781,1.001187379,1.005936899,1.010458218,0.990708394,1.005452156
1.004678442,0.994163401,1.004477118,1.00194894,1.006195106,1.009614245,0.990197997,1.005783165
1.004498441,0.993969207,1.00459723,1.002200829,1.005678699,1.008835426,0.989937567,1.005696881
1.004678442,0.993889634,1.004800719,1.002453191,1.00516232,1.007985769,0.989419133,1.005699935
1.004498441,0.994514228,1.005279834,1.002958832,1.00516232,1.006846071,0.991267172,1.005859179
1.004678442,0.994362513,1.005250258,1.003465107,1.005420506,1.006090822,0.991792365,1.00588071
1.004678442,0.994257096,1.005290328,1.003727288,1.005420506,1.005261103,0.992056315,1.005696648
1.004858447,0.99381403,1.005222604,1.003246831,1.00516232,1.005265093,0.992065011,1.005700407
1.005038456,0.994118975,1.005504146,1.003265809,1.005420506,1.0049739,0.992855741,1.005461359
1.005758543,0.994234511,1.005342082,1.002011056,1.00490414,1.00458739,0.993122825,1.00537446
1.006118616,0.99430424,1.005335148,1.002786773,1.00490414,1.004419085,0.99313148,1.005152468
1.005758543,0.994478061,1.00533663,1.002288226,1.004645967,1.004220318,0.993138011,1.004774065
1.005938577,0.994504878,1.005207047,1.001788668,1.004645967,1.004060145,0.992909212,1.004550404
1.006118616,0.994680769,1.004919257,1.00179342,1.004129641,1.003520621,0.993481248,1.004533869
1.006118616,0.994659039,1.00465803,1.00054268,1.004387801,1.003121125,0.993761335,1.004323937
1.006118616,0.994664334,1.00418618,1.000295436,1.004645967,1.002835024,0.993259588,1.004143198
1.006658761,0.994682839,1.00420949,1.001309912,1.004645967,1.00272072,0.993007172,1.003924888
1.006298659,0.994636265,1.004014283,1.00080746,1.003355203,1.002606982,0.993008512,1.003806709
1.007018881,0.99452703,1.003922801,1.000810282,1.003871489,1.002548294,0.992756179,1.003752261
1.006658761,0.99441857,1.003799543,1.000561386,1.004129641,1.002498345,0.993286727,1.003775678
1.006478708,0.994313091,1.003886072,1.000064637,1.004129641,1.002452046,0.992500463,1.003718024
1.006478708,0.994313534,1.003749199,1.000330094,1.003355203,1.00241436,0.993813123,1.003546815
1.007198949,0.994174973,1.003079188,1.000087282,1.003355203,1.002652423,0.994347015,1.003259674
