S1,S2,S3,S4,S5,S6,S7,S8
1.004548947,1.008615951,1.004522733,1.002734126,1,1.006671886,1.003880438,1.006759726
1.005036536,1.00844327,1.004276653,1.002734126,0.999785973,1.00659992,1.003880438,1.006461115
1.004874002,1.008360705,1.00388304,1.002313431,0.999571951,1.00605833,1.003449188,1.006206992
1.004548947,1.008114491,1.003538746,1.002523776,0.999143924,1.005688126,1.003233572,1.005993492
1.004548947,1.007928576,1.003243722,1.002523776,0.999571951,1.005412907,1.003233572,1.005736021
1.003898889,1.007781339,1.002899629,1.002523776,1.000214033,1.005099101,1.003017961,1.005575834
1.003573886,1.007632825,1.002555643,1.002313431,0.999571951,1.004688367,1.002802356,1.005468643
1.003411391,1.007435642,1.00216265,1.002734126,0.999357935,1.004385716,1.002155574,1.005145656
1.002761454,1.006895304,1.001720701,1.002523776,0.99892992,1.004287555,1.001939991,1.00499183
1.002436512,1.006698594,1.001377087,1.002734126,0.999571951,1.004129738,1.001293277,1.004723544
1.001949132,1.006698433,1.001082646,1.002313431,0.999571951,1.003860102,1.001724414,1.004502093
1.001949132,1.00642314,1.000935456,1.002103091,0.999143924,1.003747618,1.002586756,1.004309314
1.001624233,1.006190391,1.00083734,1.002313431,0.999143924,1.003856806,1.002371162,1.004000711
1.001299351,1.005899163,1.000690182,1.002103091,0.99892992,1.004126801,1.002802356,1.003954574
1.000974488,1.005651057,1.000543045,1.001682429,0.999143924,1.004190152,1.002155574,1.003955832
1.000649641,1.005317976,1.000494003,1.001892757,0.999357935,1.004314537,1.002155574,1.003863349
1.000487224,1.005171106,1.000395927,1.001892757,1.000214033,1.004451567,1.002155574,1.003915874
1.000324812,1.004490955,1.000346892,1.001472106,1.000214033,1.004651047,1.002586756,1.003933342
0.999837601,1.004071947,1.000494003,1.001261789,0.999571951,1.005145581,1.002371162,1.00390838
0.999837601,1.003687168,1.000690182,1.00063087,0.99892992,1.005685757,1.003233572,1.003596695
0.999512815,1.003543027,1.00103358,1.000210284,0.999143924,1.006013194,1.003449188,1.003493497
