S1,S2,S3,S4,S5,S6,S7,S8
1.002667249,1.000979931,1.000339869,1.00013743,1.006465218,1.006558168,1.00897233,1.001119
0.997048337,0.99826042,0.999148291,0.999208931,1.006717031,1.005854724,1.00921978,1.000795806
0.991405306,0.995494277,0.998101918,0.998745901,1.005777581,1.005465242,1.00826339,1.000297045
0.985460404,0.992551276,0.99695014,0.998772944,1.006259359,1.00507092,1.008277812,0.999766924
0.979036101,0.989625391,0.995877311,0.997858798,1.005546659,1.004575885,1.008037079,0.999132673
0.973252891,0.987118379,0.994984375,0.996931947,1.005310119,1.00406772,1.008040883,0.998801722
0.967971482,0.984937256,0.994064653,0.997178148,1.005814802,1.004083522,1.007315809,0.99853369
0.962669117,0.982546446,0.992963407,0.996018741,1.00583381,1.00363966,1.006596888,0.998148307
0.956250063,0.980076462,0.991817976,0.995092603,1.005838064,1.003311632,1.00660192,0.997565379
0.950637822,0.977597109,0.990768839,0.993467307,1.005361765,1.002908942,1.005634738,0.997041123
0.950190688,0.977338931,0.990747158,0.993242467,1.005129814,1.003021868,1.005876758,0.996847697
0.95023076,0.977344983,0.990822714,0.993251283,1.005372198,1.003005583,1.005646577,0.996740278
0.949913837,0.977350128,0.990920988,0.993485028,1.005372845,1.002998591,1.005168676,0.996435532
0.949920318,0.977369167,0.991032474,0.993274708,1.004903324,1.003005585,1.004709226,0.996230435
0.949619127,0.977746506,0.990997099,0.993741587,1.004455808,1.002682337,1.004712193,0.995863676
0.949625132,0.978035327,0.991182941,0.993509957,1.004218288,1.002254901,1.004477072,0.995444614
0.950007452,0.978356595,0.991187791,0.99398813,1.005186188,1.00185456,1.004263683,0.995323167
0.950496961,0.978572823,0.991224387,0.993756008,1.006143787,1.001470356,1.003781656,0.99518669
0.951501093,0.978836356,0.991187963,0.993524951,1.006385897,1.000998172,1.003554229,0.994899529
0.952163013,0.979160707,0.991165901,0.994001881,1.00687337,1.000935919,1.002840534,0.994709566
0.952657905,0.979894119,0.991119177,0.993074073,1.007123718,1.000491316,1.002620211,0.994816502
0.953624031,0.980670392,0.991015847,0.993773959,1.006896809,1.000184962,1.002892193,0.994705589
0.953819917,0.980900926,0.990879821,0.99331214,1.007138026,1.000233624,1.002661544,0.994560515
0.953827112,0.981121277,0.990639966,0.992849316,1.007860323,1.000117708,1.002906454,0.994370659
0.954311859,0.981375133,0.990526963,0.992200156,1.007383196,1.000025497,1.001954829,0.994242641
0.955137676,0.981746619,0.99032099,0.991736346,1.007897449,0.999902915,1.001731779,0.994089621
0.955144535,0.981987686,0.990179132,0.991283394,1.007902532,1.000003305,1.001258608,0.993731178
0.954868026,0.981892765,0.989816115,0.990122773,1.008151911,0.999444053,1.000546814,0.993416877
0.954882144,0.981683576,0.989701743,0.99012721,1.008158268,0.999254765,1.00057041,0.993062826
0.9552074,0.981593094,0.989531004,0.990129327,1.008886336,0.999054038,1.000599508,0.992877111
0.954756831,0.980822767,0.989579141,0.990133751,1.009365167,0.99915938,1.000843965,0.992715622
0.954832224,0.980220953,0.989666248,0.990623976,1.009847867,0.999427847,1.000844909,0.992601093
0.954843937,0.979713995,0.989574912,0.990401249,1.009609731,0.999648713,1.000607667,0.992313543
0.954726647,0.979024742,0.989591707,0.989964114,1.009615242,0.999936971,1.00086326,0.992039455
0.954611735,0.978705962,0.989582276,0.98950762,1.009867573,1.000180223,1.000872459,0.991671768
0.954481816,0.977897133,0.98961865,0.989066466,1.009631169,1.000659593,1.001115812,0.991469121
0.954031163,0.97706474,0.989478426,0.988836014,1.010112062,1.001392083,1.001362915,0.991225142
0.953406379,0.976288973,0.989498584,0.987924028,1.009162915,1.002012048,1.00233884,0.990986374
0.953170776,0.975784737,0.989419633,0.98722831,1.008449096,1.002372539,1.002346443,0.990732425
0.952852395,0.975246401,0.989064836,0.987027198,1.008220413,1.002778716,1.002135872,0.990476684
0.952111403,0.974711259,0.988851509,0.986333054,1.008221725,1.003145681,1.002400204,0.990364988
0.951955743,0.974426332,0.988608135,0.987288204,1.008471638,1.003482914,1.003162155,0.990157501
0.951315187,0.973849085,0.988368304,0.987758022,1.008950708,1.003698329,1.003417514,0.990017582
0.950849299,0.973820903,0.988257921,0.987791984,1.008716733,1.003712983,1.002943332,0.989914828
0.950698455,0.973790995,0.988102763,0.987792581,1.008238376,1.003708037,1.002704419,0.989979457
0.950638586,0.973739119,0.987959274,0.987797732,1.008004033,1.003677669,1.002979161,0.989794997
0.950162182,0.973643862,0.988260631,0.988738987,1.007767959,1.003843968,1.003478257,0.989873481
0.950521037,0.973555231,0.988433702,0.989453017,1.008008623,1.003950148,1.003492993,0.990038632
0.950546216,0.973423733,0.988814662,0.990158664,1.007547632,1.004071283,1.004482989,0.990299642
0.950868605,0.973374771,0.988992962,0.989941013,1.007549561,1.004320222,1.00450767,0.99046203
0.950869784,0.973278487,0.989196455,0.989947595,1.006835767,1.004428102,1.003787066,0.990511437
0.95139399,0.973778567,0.989158124,0.990416148,1.007077716,1.004358898,1.004271685,0.990639392
0.951428573,0.974089723,0.989135827,0.990416484,1.007085919,1.004158533,1.003564395,0.990799072
0.951625182,0.974428717,0.989210359,0.99065441,1.00708934,1.004118331,1.003085418,0.991032211
0.951465838,0.974925128,0.989284547,0.991599093,1.00709913,1.003860265,1.002617612,0.991296835
0.951508803,0.975822317,0.98939082,0.992297146,1.007583628,1.00343343,1.003589138,0.991813019
0.951512379,0.976574169,0.989596609,0.992764803,1.007823164,1.002930271,1.003593735,0.99198801
0.952012459,0.97739735,0.989896691,0.993002633,1.007118026,1.002406441,1.003112059,0.992267557
0.952212815,0.97814854,0.989885646,0.993478963,1.007836357,1.001871457,1.00263082,0.992593816
0.951893211,0.978722366,0.990200828,0.994413316,1.008080204,1.001566231,1.003598899,0.992890182
0.951778778,0.979357892,0.990867902,0.994418986,1.008335837,1.001377946,1.004326676,0.993059218
0.951800557,0.979729075,0.99126,0.994916931,1.007863564,1.001173631,1.004109954,0.993220207
0.951554159,0.979453869,0.99186247,0.99539575,1.008105022,1.001123945,1.002929998,0.993329004
0.951669615,0.979641967,0.992595785,0.995408306,1.007639519,1.001352194,1.002701002,0.993550794
0.952151947,0.979881043,0.993290592,0.995652057,1.007886527,1.001526665,1.003434658,0.993747673
0.952215175,0.979958585,0.994050552,0.995435896,1.008129694,1.001770212,1.004163488,0.993927515
0.952271205,0.980114847,0.994755414,0.995669225,1.008849023,1.002053685,1.005145389,0.994209984
0.952610172,0.980222876,0.99503059,0.995458911,1.009348806,1.002237588,1.005156649,0.994436721
0.952635408,0.980336172,0.995346727,0.995959765,1.009833269,1.002494046,1.005892326,0.994588012
0.953195446,0.98060909,0.995845738,0.996440799,1.010801436,1.002635678,1.006140793,0.99450546
0.952557528,0.98092358,0.996119261,0.997151659,1.011041426,1.002647779,1.006866555,0.994664502
0.952113453,0.980923693,0.996175549,0.997152011,1.010802483,1.002680935,1.008327233,0.994744869
0.951800972,0.981006382,0.996454394,0.996691338,1.010808078,1.002743349,1.008331511,0.994603265
0.951825693,0.981110056,0.996616236,0.996724969,1.010099827,1.00257822,1.009300851,0.994567824
0.951073254,0.981249745,0.996776184,0.996496111,1.009384406,1.00254922,1.010040887,0.994332106
0.950926439,0.981503563,0.996931939,0.99558807,1.009392918,1.002629482,1.010527188,0.994187855
0.951093941,0.981142543,0.997127577,0.995590368,1.008681836,1.002763082,1.010044908,0.994012096
0.950619108,0.980646423,0.997263372,0.995593077,1.008456385,1.002870993,1.010298031,0.994067636
0.950684727,0.980472507,0.997169576,0.99536826,1.008460918,1.003213955,1.010313505,0.993863413
0.950723641,0.979950937,0.997315872,0.995376076,1.008227051,1.003595091,1.010318277,0.993906527
0.951215557,0.9793952,0.997460295,0.995626554,1.008711311,1.003932216,1.009839284,0.993864734
0.951541686,0.978929619,0.99757291,0.996097971,1.008956587,1.004415931,1.009368051,0.993873993
0.951892291,0.978460775,0.997789389,0.995867073,1.009197118,1.00457581,1.009368179,0.993752247
0.951946639,0.978511402,0.99778475,0.99540951,1.009198432,1.004753516,1.009617526,0.993815492
0.952115984,0.978268618,0.997609818,0.995423679,1.008970535,1.004658142,1.009380313,0.993785694
0.951832383,0.97798753,0.997377308,0.995670858,1.008738024,1.004679303,1.009144952,0.993866741
0.952161254,0.978001674,0.996858548,0.995931746,1.008271509,1.004475115,1.008669518,0.993715605
0.951896388,0.977541926,0.996227103,0.995473684,1.00804529,1.004223413,1.008934536,0.993451764
0.951594956,0.977118877,0.995635381,0.995019063,1.007811591,1.004021829,1.007967749,0.993433456
0.951421043,0.976540975,0.994916862,0.994344672,1.007572712,1.003814532,1.0077275,0.993335361
0.950968269,0.975925755,0.994290602,0.994399052,1.006855363,1.00358896,1.007004709,0.993362942
0.950658383,0.975309071,0.993736491,0.994402025,1.006626272,1.003511274,1.006281765,0.993279887
0.951002567,0.974852433,0.993410592,0.994651713,1.006866682,1.003521802,1.004846723,0.993259751
0.950686231,0.974445496,0.993114257,0.995364504,1.006629527,1.003386798,1.004373014,0.99326903
0.950690591,0.974152259,0.993072299,0.99466883,1.006631521,1.003612765,1.003899711,0.993061632
0.950853409,0.973757991,0.993028547,0.994918564,1.006633378,1.003584836,1.003434009,0.993117575
0.951349742,0.973569088,0.992887966,0.995174126,1.006880031,1.003523422,1.003435267,0.992999179
0.951061095,0.973283691,0.992768269,0.994718478,1.006883615,1.003620361,1.00392036,0.993014539
0.951708576,0.973133584,0.99263371,0.994719588,1.007128157,1.00374757,1.003444889,0.992858213
0.951611602,0.972653143,0.992869678,0.994963745,1.007851445,1.003710121,1.004182026,0.99284184
0.951627991,0.972607791,0.992885006,0.994732319,1.008092041,1.003573462,1.004669221,0.992704505
0.951490075,0.972573136,0.992897467,0.994270971,1.007619137,1.003537478,1.005179185,0.992601785
0.951033824,0.972842488,0.992853609,0.993580795,1.007646688,1.003343654,1.004706909,0.992494041
0.951547747,0.973260812,0.992808826,0.993816252,1.007890142,1.003107738,1.0049518,0.992387435
0.952041556,0.973807863,0.9927081,0.993366723,1.007415519,1.002818588,1.005195229,0.992274323
0.952540398,0.974340376,0.992666194,0.993142919,1.007657861,1.002518465,1.004988344,0.992027742
0.952861788,0.9749464,0.992624723,0.992679314,1.007663006,1.002160758,1.004266683,0.991825288
0.952931991,0.975225969,0.992889626,0.992484437,1.008149754,1.002008586,1.00427759,0.991784771
0.953422159,0.975922074,0.993254219,0.992494902,1.007910827,1.001959368,1.003069105,0.991754951
0.954335698,0.976614448,0.993773469,0.992263102,1.007483773,1.001759099,1.004036267,0.991690125
0.954046211,0.976860282,0.994933725,0.99249855,1.007007566,1.001989896,1.003801706,0.991720906
0.953763551,0.977465454,0.995855144,0.991586998,1.006532325,1.002352277,1.004556004,0.991803308
0.954254086,0.978104096,0.996720048,0.992059856,1.007490533,1.002703282,1.004799047,0.992027353
0.9545868,0.978747435,0.997565266,0.992060225,1.007257698,1.002980733,1.005045869,0.992145674
0.955072732,0.979349815,0.998417187,0.991838651,1.007259728,1.00334823,1.005801927,0.992428269
0.955437076,0.979984644,0.99893284,0.992769205,1.007980291,1.003733627,1.005804508,0.992703235
0.956111703,0.980560109,0.999496399,0.993014279,1.00893981,1.003992449,1.007034133,0.99304579
0.955951191,0.981246603,1.000143405,0.993956495,1.009422454,1.004321539,1.006815795,0.99324884
0.956281907,0.982231375,1.000374066,0.993971158,1.009903141,1.004663719,1.00609096,0.993598984
0.956943756,0.983185022,1.000975555,0.994720686,1.010384599,1.004799504,1.006575327,0.993849741
