S1,S2,S3,S4,S5,S6,S7,S8
1.000941285,1.000354573,1.000994729,1.000867753,0.995549438,0.999962414,1.001352109,1.003930352
1.000633812,1.000794679,1.000959857,1.001084912,0.995549438,1.000190387,1.001352109,1.003374749
1.00136322,1.001509183,1.001335193,1.001519496,0.996214643,1.000392857,1.000901024,1.002667393
1.00163963,1.001936632,1.00150893,1.00130216,0.996214643,1.00051612,1.001352109,1.001933377
1.002679471,1.002211788,1.001409019,1.002172038,0.997102885,1.001121769,1.001352109,1.001441373
1.002971686,1.002343693,1.001306785,1.002172038,0.996436564,1.001695507,1.001126519,1.001040426
1.002819753,1.00242209,1.001147391,1.002172038,0.996436564,1.002313842,1.001126519,1.000723658
1.002654854,1.002593784,1.000973372,1.002172038,0.996214643,1.002940242,1.001803578,1.000381479
1.002632263,1.002589176,1.000747117,1.00260751,0.995992815,1.003486801,1.001126519,0.999910157
1.002603592,1.002788378,1.000551981,1.00260751,0.996880685,1.004223031,1.000901024,0.999575805
1.001997108,1.002163772,1.000529065,1.001954436,0.996214643,1.004498312,1.000901024,0.99912205
1.001983231,1.001635848,1.000558777,1.001084912,0.996658578,1.004850286,1.000675624,0.998587164
1.001975364,1.000953565,1.000597933,1.001519496,0.997102885,1.005372624,1.000450321,0.998056596
1.002421284,1.001101347,1.000732171,1.001084912,0.996880685,1.005303958,1,0.997599045
1.002407582,1.000312545,1.001022415,1.001519496,0.996658578,1.00546275,0.999774983,0.997253759
1.002556151,0.999686698,1.001267646,1.002172038,0.996658578,1.005570898,0.999774983,0.997010124
1.002400433,0.998981527,1.001495124,1.001954436,0.996214643,1.005650541,0.999774983,0.996710433
1.002545622,0.998242153,1.00158061,1.001954436,0.996436564,1.005787175,0.999325235,0.996247891
1.002694147,0.997646389,1.001772309,1.001736922,0.996658578,1.005878342,0.998875868,0.99570728
1.002227974,0.997802245,1.001715974,1.001519496,0.996214643,1.005887752,0.999550061,0.995386199
1.001926648,0.997463469,1.001816282,1.001954436,0.996436564,1.006130099,0.999774983,0.995102127
1.002212309,0.996936541,1.001963714,1.00238973,0.997325179,1.006351274,0.999774983,0.994884979
1.002509679,0.996709479,1.002489303,1.00260751,0.99799262,1.006189013,0.999550061,0.994623097
1.001728425,0.99614051,1.002630556,1.00260751,0.997547566,1.006014554,0.999325235,0.994545226
1.001426163,0.995759676,1.002818468,1.00282538,0.997770046,1.005767134,0.999325235,0.994455271
1.000374183,0.995149793,1.002799269,1.002172038,0.997770046,1.005458424,0.998651327,0.994296393
0.999737156,0.994773081,1.002844212,1.002172038,0.998215288,1.005179474,0.998426881,0.994279259
0.999581578,0.994343477,1.003035593,1.002172038,0.997770046,1.004911852,0.997978275,0.994209535
0.999283513,0.993729006,1.003111391,1.001954436,0.99799262,1.004878149,0.997754114,0.993979597
0.999269807,0.993855567,1.003258691,1.00130216,0.99799262,1.004778047,0.997306077,0.993893156
0.999268882,0.993913706,1.003326459,1.001954436,0.997102885,1.004595795,0.997530048,0.993748101
0.999713694,0.994567428,1.003322993,1.00282538,0.997325179,1.004741621,0.997978275,0.993635065
0.999700487,0.995398298,1.003217313,1.003479523,0.997547566,1.004839539,0.997978275,0.993651614
0.999694267,0.996267168,1.003035942,1.003479523,0.996880685,1.004888163,0.997978275,0.993594832
1.000118507,0.996986993,1.002763476,1.003479523,0.996880685,1.004937179,0.997978275,0.9933597
