S1,S2,S3,S4,S5,S6,S7,S8
1.004548898,1.0058014,1.013793282,1.0006533,1,1.013024059,1.001797844,1.0087119
1.003790493,1.0058014,1.013992438,1.000435527,0.999777635,1.013131758,1.000674148,1.008600174
1.003335499,1.005953121,1.014241439,1.000435527,1.000222371,1.013077908,1.001123609,1.008660618
1.00303219,1.005953121,1.014490503,1.000435527,1.000222371,1.013131758,1.001123609,1.00860605
1.002880542,1.005953121,1.014739629,1.0006533,1.000444747,1.013131758,1.001348348,1.008720218
1.002880542,1.005902545,1.014938975,1.001088861,1.000667129,1.013347181,1.001797844,1.008889362
1.002728898,1.005750831,1.015088511,1.001524446,1.001111911,1.013562636,1.002696907,1.008722144
1.002122362,1.005649699,1.015337787,1.002177865,1.001556715,1.013832002,1.003146474,1.008680667
1.001515891,1.005599136,1.01538765,1.003484857,1.001556715,1.01410142,1.004495314,1.008739914
1.001515891,1.005447461,1.015637001,1.00304917,1.001556715,1.01442479,1.003596063,1.008745676
1.000757894,1.005295805,1.015886415,1.002395683,1.000667129,1.014640411,1.003146474,1.008811122
0.999545312,1.004942015,1.015936305,1.001960053,1.000222371,1.014963905,1.003596063,1.008874917
0.998636047,1.005194711,1.015786642,1.001960053,1,1.015071753,1.003596063,1.008881664
0.998484517,1.005245257,1.015637001,1.002395683,1.000667129,1.015287474,1.002921687,1.009064501
0.997575424,1.005245257,1.015587126,1.002395683,1.000444747,1.015449287,1.003371266,1.009238308
0.997272425,1.005396907,1.015537253,1.001742246,1.000667129,1.015665066,1.003146474,1.009246868
0.996969443,1.005548576,1.015487383,1.001524446,0.999777635,1.015880878,1.003596063,1.009420353
0.997272425,1.005599136,1.015188214,1.001524446,1.000222371,1.015880878,1.003820867,1.009443918
0.996969443,1.005649699,1.014988818,1.001088861,0.999332923,1.015934836,1.003820867,1.009503346
0.997423922,1.005750831,1.014689799,1.000435527,0.999555276,1.016096724,1.004045677,1.009627977
0.997575424,1.005750831,1.014540323,1.0006533,1.000222371,1.016312602,1.004495314,1.009572955
0.998029952,1.0058014,1.014191634,1.000871078,1.000889517,1.016420554,1.004495314,1.009574034
0.998332992,1.005902545,1.014042233,1.000871078,1.000889517,1.016582497,1.004720141,1.00964065
0.998332992,1.005953121,1.013743499,1.0006533,1.000889517,1.016798451,1.004720141,1.009762836
0.999090661,1.006104861,1.013494623,1.000871078,1.000667129,1.016960438,1.005844365,1.00977021
0.998939119,1.006256621,1.013345327,1.000871078,1.000222371,1.017014438,1.006518969,1.009771949
0.998787581,1.006408399,1.013245809,1.000435527,0.999555276,1.016960438,1.006518969,1.009716257
0.998484517,1.006762625,1.013245809,1.000217761,0.998221245,1.01690644,1.006069227,1.00978226
0.999242208,1.007066331,1.0131463,1.000217761,0.997998926,1.016852444,1.005394658,1.009798008
